Gene Name	Function	Subcellular Location	Predicted Molecular weight (Da)	Number of TMH (HMMTOP / TMHMM)	Signal Peptide Cleavage Prob
lptB	 The cellular location of this protein was experimentally confirmed - Participate in LPS biogenesis. sigma_E-dependent. ... ...	Cytoplasmic	26800.73	0 / 0	None
rpoE	 The cellular location of this protein was experimentally confirmed - RNA polymerase sigma E subunit; extracytoplasmic s ... ...	Cytoplasmic	21695.8	0 / 0	None
napF	 The cellular location of this protein was experimentally confirmed - Ferredoxin homolog	Cytoplasmic	18047.59	0 / 0	None
nuoB	 The cellular location of this protein was experimentally confirmed - NADH:quinone oxidoreductase subunit B; complex I; ... ...	Cytoplasmic	25055.95	0 / 0	None
nuoC	 The cellular location of this protein was experimentally confirmed - NADH:quinone oxidoreductase subunit C; complex I; ... ...	Cytoplasmic	68694.9	0 / 0	None
nuoE	 The cellular location of this protein was experimentally confirmed - NADH:quinone oxidoreductase subunit E; complex I; ... ...	Cytoplasmic	18590.13	1 / 0	None
nuoG	 The cellular location of this protein was experimentally confirmed - NADH:quinone oxidoreductase subunit G; complex I; ... ...	Cytoplasmic	100543.92	0 / 0	None
nuoI	 The cellular location of this protein was experimentally confirmed - NADH:quinone oxidoreductase subunit I; complex I; ... ...	Cytoplasmic	20537.87	0 / 0	None
sgrR	 The cellular location of this protein was experimentally confirmed - Transcriptional activator of small RNA sgrS	Cytoplasmic	63975.36	0 / 0	None
napD	 The cellular location of this protein was experimentally confirmed - Unknown function; nap operon	Cytoplasmic	9468.54	0 / 0	None
glnK	 The cellular location of this protein was experimentally confirmed - Regulated through NRI/NRII two-component regulator ... ...	Cytoplasmic	12259.24	0 / 0	None
treF	 The cellular location of this protein was experimentally confirmed - Cytoplasmic trehalase	Cytoplasmic	63696.91	0 / 0	None
acnB	 The cellular location of this protein was experimentally confirmed - Aconitase B; apo-enzyme binds mRNA for negative tr ... ...	Cytoplasmic	93498.44	0 / 0	None
uspF	 The cellular location of this protein was experimentally confirmed - Stress-induced protein; binds ATP; dimer	Cytoplasmic	18503.41	0 / 0	None
yeaD	 The cellular location of this protein was experimentally confirmed - Function unknown; low abundance protein	Cytoplasmic	33484.25	0 / 0	None
uspG	 The cellular location of this protein was experimentally confirmed - Stress protein; induced in stationary phase; nativ ... ...	Cytoplasmic	15935.23	0 / 0	None
ygfZ	 The cellular location of this protein was experimentally confirmed - Function unknown; expressed protein	Cytoplasmic	36094.24	0 / 0	None
kdsC	 The cellular location of this protein was experimentally confirmed - 3-Deoxy-D-manno-octulosonate 8-phosphate (KDO 8-P) ... ...	Cytoplasmic	19997.19	0 / 0	84.3%
panE	 The cellular location of this protein was experimentally confirmed - Ketopantoate reductase; NADPH-dependent; also indi ... ...	Cytoplasmic	33870.89	0 / 0	None
dcyD	 The cellular location of this protein was experimentally confirmed - D-cysteine desulfhydrase; needed for protection fr ... ...	Cytoplasmic	38705.57	0 / 0	None
nfnB	 The cellular location of this protein was experimentally confirmed - Resistance to nitrofurantoin; a nitroreductase	Cytoplasmic	23905.25	1 / 0	None
acpP	 The cellular location of this protein was experimentally confirmed - ACP (acyl carrier protein)	Cytoplasmic	8639.54	0 / 0	None
metQ	 The cellular location of this protein was experimentally confirmed - DL-methionine transporter subunit; periplasmic-bin ... ...	Inner membrane lipoprotein	29431.7	1 / 0	71.9%
acrA	 The cellular location of this protein was experimentally confirmed - multidrug efflux system; member of membrane fusion ... ...	Inner membrane lipoprotein	42196.8	1 / 0	71.6%
envC	 The cellular location of this protein was experimentally confirmed - Membrane-bound cytoplasmic protease; needed for Ft ... ...	Inner Membrane Lipoprotein	47466.82	1 / 1	100%
cysZ	 The cellular location of this protein was experimentally confirmed - ORF upstream of cysK	Integral Membrane Protein	29305.14	5 / 4	None
dcuB	 The cellular location of this protein was experimentally confirmed - C4-dicarboxylate antiporter; member of C4-dicarbox ... ...	Integral Membrane Protein	47935.48	11 / 11	None
ampE	 The cellular location of this protein was experimentally confirmed - Ampicillin resistance; membrane protein	Integral Membrane Protein	32122.09	5 / 4	None
atpB	 The cellular location of this protein was experimentally confirmed - Membrane-bound ATP synthase; F0 sector; subunit a	Integral Membrane Protein	30303.38	6 / 5	None
atpE	 The cellular location of this protein was experimentally confirmed - Membrane-bound ATP synthase; F0 sector; subunit c; ... ...	Integral Membrane Protein	8256.18	2 / 2	54.8%
cdsA	 The cellular location of this protein was experimentally confirmed - CDP-diglyceride synthase; integral membrane protei ... ...	Integral Membrane Protein	27570.9	9 / 8	76.3%
cvpA	 The cellular location of this protein was experimentally confirmed - Affects Col V production; member of purF operon	Integral Membrane Protein	17907.06	5 / 4	None
cyoC	 The cellular location of this protein was experimentally confirmed - Cytochrome o oxidase subunit III; cytochrome bo(3) ... ...	Integral Membrane Protein	22622.74	5 / 5	None
cyoE	 The cellular location of this protein was experimentally confirmed - Cytochrome o oxidase subunit; protoheme IX farnesy ... ...	Integral Membrane Protein	32248.64	9 / 9	None
dgkA	 The cellular location of this protein was experimentally confirmed - Diglyceride kinase	Integral Membrane Protein	13244.74	2 / 2	None
dmsC	 The cellular location of this protein was experimentally confirmed - DMSO reductase subunit C; membrane bound	Integral Membrane Protein	30826.4	8 / 8	None
dsdX	 The cellular location of this protein was experimentally confirmed - predicted transporter; member of the gluconate:pro ... ...	Integral Membrane Protein	47163.39	12 / 12	None
gcd	 The cellular location of this protein was experimentally confirmed - Glucose dehydrogenase (pyrroloquinoline-quinone) q ... ...	Integral Membrane Protein	86747.65	5 / 5	39.5%
gltS	 The cellular location of this protein was experimentally confirmed - glutamate transporter; member of glutamate:sodium ... ...	Integral Membrane Protein	42425.34	10 / 9	None
hyaA	 The cellular location of this protein was experimentally confirmed - Hydrogenase 1 small subunit [NiFe]	Integral Membrane Protein	40681.56	3 / 2	63.1%
hycD	 The cellular location of this protein was experimentally confirmed - Hydrogenase 3 subunit	Integral Membrane Protein	33029.5	8 / 8	None
livH	 The cellular location of this protein was experimentally confirmed - leucine/isoleucine/valine transporter subunit; mem ... ...	Integral Membrane Protein	32982.46	9 / 8	None
mtr	 The cellular location of this protein was experimentally confirmed - tryptophan transporter of high affinity; member of ... ...	Integral Membrane Protein	44332.75	11 / 11	None
emrE	 The cellular location of this protein was experimentally confirmed - Multidrug resistance pump family; methylviologen s ... ...	Integral Membrane Protein	11958.43	4 / 4	None
nagE	 The cellular location of this protein was experimentally confirmed - N-acetyl glucosamine specific enzyme IIABC compone ... ...	Integral Membrane Protein	68347.15	11 / 10	None
narI	 The cellular location of this protein was experimentally confirmed - Cytochrome bNR; structural gene; gamma-subunit	Integral Membrane Protein	25497.5	5 / 5	None
pntA	 The cellular location of this protein was experimentally confirmed - Pyridine nucleotide transhydrogenase alpha-subunit	Integral Membrane Protein	54623.64	5 / 5	None
secY	 The cellular location of this protein was experimentally confirmed - preprotein translocase membrane subunit; member of ... ...	Integral Membrane Protein	48511.89	10 / 10	None
putP	 The cellular location of this protein was experimentally confirmed - proline:sodium symporter; member of solute:sodium ... ...	Integral Membrane Protein	54344.41	13 / 12	None
tar	 The cellular location of this protein was experimentally confirmed - Chemotactic signal transducer protein II; methyl a ... ...	Integral Membrane Protein	59943.89	2 / 2	44.6%
tnaB	 The cellular location of this protein was experimentally confirmed - tryptophan transporter of low affinity; member of ... ...	Integral Membrane Protein	45210.86	11 / 11	None
tolQ	 The cellular location of this protein was experimentally confirmed - Tolerance to group A colicins; single-stranded DNA ... ...	Integral Membrane Protein	25597.81	3 / 3	44.5%
tyrP	 The cellular location of this protein was experimentally confirmed - tyrosine transporter; member of hydroxy/aromatic a ... ...	Integral Membrane Protein	42819.31	11 / 11	66.4%
yfcA	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	28643.52	9 / 7	74%
yggA	 The cellular location of this protein was experimentally confirmed - predicted amino acid transporter; member of L-lysi ... ...	Integral Membrane Protein	23175.82	6 / 6	70.7%
mscS	 The cellular location of this protein was experimentally confirmed - mechanosensitive channel; member of small conducta ... ...	Integral Membrane Protein	30896.12	4 / 3	None
mscL	 The cellular location of this protein was experimentally confirmed - mechanosensitive channel; member of large conducta ... ...	Integral Membrane Protein	14956.82	2 / 2	None
dcuA	 The cellular location of this protein was experimentally confirmed - C4-dicarboxylate antiporter; member of C4-dicarbox ... ...	Integral Membrane Protein	45750.91	11 / 11	None
fdnI	 The cellular location of this protein was experimentally confirmed - Formate dehydrogenase-N cytochrome subunit	Integral Membrane Protein	25368.62	4 / 4	35.7%
adrA	 The cellular location of this protein was experimentally confirmed - Probable cellulose production regulator; Salmonell ... ...	Integral Membrane Protein	41537.67	5 / 5	None
hyfB	 The cellular location of this protein was experimentally confirmed - Putative hydrogenase 4 component B; membrane prote ... ...	Integral Membrane Protein	72583.38	16 / 16	None
wzzE	 The cellular location of this protein was experimentally confirmed - Entobacterial Common Antigen (ECA) biosynthesis; E ... ...	Integral Membrane Protein	39620.46	2 / 2	None
rhaT	 The cellular location of this protein was experimentally confirmed - L-rhamnose:proton symporter; member of drug/metabo ... ...	Integral Membrane Protein	37320.0	10 / 10	None
yceE	 The cellular location of this protein was experimentally confirmed - predicted drug efflux system; member of major faci ... ...	Integral Membrane Protein	43867.47	12 / 10	None
gspO	 The cellular location of this protein was experimentally confirmed - Type IV prepilin peptidase in cryptic gsp operon	Integral Membrane Protein	24956.93	8 / 7	None
ubiA	 The cellular location of this protein was experimentally confirmed - 4-Hydroxybenzoate polyprenyltransferase	Integral Membrane Protein	32511.89	9 / 7	None
emrB	 The cellular location of this protein was experimentally confirmed - multidrug efflux system; member of major facilitat ... ...	Integral Membrane Protein	55624.65	14 / 13	None
wzyE	 The cellular location of this protein was experimentally confirmed - Probable Wzy protein involved in ECA polysaccharid ... ...	Integral Membrane Protein	51517.49	13 / 11	None
rhtB	 The cellular location of this protein was experimentally confirmed - neutral amino-acid efflux system; member of resist ... ...	Integral Membrane Protein	22426.86	6 / 5	47.1%
ftsH	 The cellular location of this protein was experimentally confirmed - Essential inner membrane ATP-dependent protease; d ... ...	Integral Membrane Protein	70708.34	2 / 2	38%
yabI	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	28244.26	5 / 5	None
sugE	 The cellular location of this protein was experimentally confirmed - multidrug efflux system; member of 4 TMS small mul ... ...	Integral Membrane Protein	16186.4	4 / 4	None
marC	 The cellular location of this protein was experimentally confirmed - function unknown; membrane protein	Integral Membrane Protein	23617.36	6 / 5	None
uidB	 The cellular location of this protein was experimentally confirmed - glucuronide transporter; member of glycoside-pento ... ...	Integral Membrane Protein	49908.26	11 / 12	None
atoE	 The cellular location of this protein was experimentally confirmed - short chain fatty acid transporter; member of puta ... ...	Integral Membrane Protein	47527.98	11 / 9	60%
yicO	 The cellular location of this protein was experimentally confirmed - Function unknown; baeSR regulon; nucleobase:cation ... ...	Integral Membrane Protein	49871.52	12 / 13	None
glvC	 The cellular location of this protein was experimentally confirmed - arbutin specific enzyme IIC component of PTS; memb ... ...	Integral Membrane Protein	50004.26	10 / 9	None
yieG	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	46865.98	13 / 13	None
chaA	 The cellular location of this protein was experimentally confirmed - calcium/sodium:proton antiporter; member of calciu ... ...	Integral Membrane Protein	39168.62	11 / 11	None
nuoM	 The cellular location of this protein was experimentally confirmed - NADH:quinone oxidoreductase subunit M; complex I; ... ...	Integral Membrane Protein	56524.82	14 / 14	None
amtB	 The cellular location of this protein was experimentally confirmed - ammonium transporter; member of ammonium transport ... ...	Integral Membrane Protein	44514.89	12 / 12	55.3%
etk	 The cellular location of this protein was experimentally confirmed - Cryptic autophosphorylating protein tyrosine kinas ... ...	Integral Membrane Protein	81241.9	2 / 2	None
menA	 The cellular location of this protein was experimentally confirmed - 1; 4-dihydroxy-2-naphthoic acid (DHNA)-octaprenylt ... ...	Integral Membrane Protein	33594.12	9 / 9	94.5%
yjcD	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	45711.69	13 / 13	None
nupC	 The cellular location of this protein was experimentally confirmed - nucleoside (except guanosine) transporter; member ... ...	Integral Membrane Protein	43475.95	9 / 8	43.2%
yohC	 The cellular location of this protein was experimentally confirmed - function unknown	Integral Membrane Protein	22450.62	5 / 5	None
yohJ	 The cellular location of this protein was experimentally confirmed - Function unknown; suggested to be a holin-like mur ... ...	Integral Membrane Protein	14578.79	4 / 4	None
yohK	 The cellular location of this protein was experimentally confirmed - Function unknown; S. aureus ortholog missing a mur ... ...	Integral Membrane Protein	24469.67	5 / 6	None
yeiH	 The cellular location of this protein was experimentally confirmed - Function unknown; probable integral membrane prote ... ...	Integral Membrane Protein	36882.27	10 / 8	86.3%
nupX	 The cellular location of this protein was experimentally confirmed - predicted nucleoside transporter; member of concen ... ...	Integral Membrane Protein	43409.78	12 / 8	None
yeiM	 The cellular location of this protein was experimentally confirmed - predicted nucleoside transporter; member of concen ... ...	Integral Membrane Protein	43431.9	12 / 8	53.4%
yejM	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	67296.22	5 / 5	None
nikC	 The cellular location of this protein was experimentally confirmed - nickel transporter subunit; membrane component; me ... ...	Integral Membrane Protein	30362.11	5 / 6	90.5%
nuoH	 The cellular location of this protein was experimentally confirmed - NADH:quinone oxidoreductase subunit H; complex I; ... ...	Integral Membrane Protein	36219.33	8 / 8	None
nuoL	 The cellular location of this protein was experimentally confirmed - NADH:quinone oxidoreductase subunit L; complex I; ... ...	Integral Membrane Protein	66438.39	18 / 16	54.9%
nuoN	 The cellular location of this protein was experimentally confirmed - NADH:quinone oxidoreductase subunit N; complex I; ... ...	Integral Membrane Protein	45650.51	12 / 12	None
sdaC	 The cellular location of this protein was experimentally confirmed - predicted serine transporter; member of hydroxy/ar ... ...	Integral Membrane Protein	46906.57	11 / 11	None
dipZ	 The cellular location of this protein was experimentally confirmed - Required for disulfide bond formation in some peri ... ...	Integral Membrane Protein	61795.34	9 / 8	99.7%
crcB	 The cellular location of this protein was experimentally confirmed - High-copy crc-csp restores normal chromosome conde ... ...	Integral Membrane Protein	13777.36	4 / 4	53.7%
pitA	 The cellular location of this protein was experimentally confirmed - phosphate transporter; member of inorganic phospha ... ...	Integral Membrane Protein	53389.27	10 / 10	None
arsB	 The cellular location of this protein was experimentally confirmed - arsenite/antimonite transporter; member of arsenit ... ...	Integral Membrane Protein	46263.54	13 / 11	None
yhjV	 The cellular location of this protein was experimentally confirmed - predicted transporter; member of hydroxy/aromatic ... ...	Integral Membrane Protein	47257.74	11 / 11	None
eptB	 The cellular location of this protein was experimentally confirmed - A phosphoethanolamine transferase specific for the ... ...	Integral Membrane Protein	64939.09	5 / 5	50%
yiaH	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	37570.03	10 / 10	None
ygjE	 The cellular location of this protein was experimentally confirmed - Tartrate:succinate antiporter; member of the dival ... ...	Integral Membrane Protein	52906.67	11 / 12	None
yfiK	 The cellular location of this protein was experimentally confirmed - neutral amino-acid efflux system; member of RhtB f ... ...	Integral Membrane Protein	21248.39	6 / 6	None
yjfL	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	14223.9	4 / 4	None
idnT	 The cellular location of this protein was experimentally confirmed - predicted L-idonate and D-gluconate transporter; m ... ...	Integral Membrane Protein	46041.49	10 / 12	87.6%
gntP	 The cellular location of this protein was experimentally confirmed - gluconate transporter; member of the gluconate:pro ... ...	Integral Membrane Protein	47138.17	13 / 13	None
gntU	 The cellular location of this protein was experimentally confirmed - gluconate transporter; low affinity GNT I system; ... ...	Integral Membrane Protein	46416.18	13 / 13	50.6%
yhaO	 The cellular location of this protein was experimentally confirmed - predicted transporter; member of hydroxy/aromatic ... ...	Integral Membrane Protein	48314.94	11 / 11	None
yhbX	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	61559.81	4 / 5	81.6%
yrbE	 The cellular location of this protein was experimentally confirmed - predicted toluene transporter subunit; membrane co ... ...	Integral Membrane Protein	27863.38	5 / 5	None
yrbG	 The cellular location of this protein was experimentally confirmed - predicted calcium/sodium:proton antiporter; member ... ...	Integral Membrane Protein	34740.75	10 / 9	62.1%
dcuD	 The cellular location of this protein was experimentally confirmed - predicted transporter; member of C4-dicarboxylate ... ...	Integral Membrane Protein	48831.02	14 / 13	None
abgT	 The cellular location of this protein was experimentally confirmed - predicted aminobenzoyl-glutamate transporter; memb ... ...	Integral Membrane Protein	55114.43	13 / 13	None
yhgN	 The cellular location of this protein was experimentally confirmed - Function unknown; putative membrane protein; marC ... ...	Integral Membrane Protein	21490.5	6 / 6	None
pqiA	 The cellular location of this protein was experimentally confirmed - Induced by paraquat; regulated by SoxRS	Integral Membrane Protein	46463.79	8 / 8	None
pppA	 The cellular location of this protein was experimentally confirmed - Prepilin protein peptidase; type IV pilin-specific	Integral Membrane Protein	34273.73	8 / 7	None
glcA	 The cellular location of this protein was experimentally confirmed - glycolate transporter; member of lactate permease ... ...	Integral Membrane Protein	58920.39	18 / 13	94.1%
yghQ	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	38533.26	7 / 6	None
yqhA	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	18641.28	4 / 3	None
yqfA	 The cellular location of this protein was experimentally confirmed - Function unknown; similarity to hemolysin III; pro ... ...	Integral Membrane Protein	23846.84	7 / 7	None
yqeG	 The cellular location of this protein was experimentally confirmed - predicted transporter; member of hydroxy/aromatic ... ...	Integral Membrane Protein	45099.47	10 / 10	None
ygbN	 The cellular location of this protein was experimentally confirmed - predicted transporter; member of the gluconate:pro ... ...	Integral Membrane Protein	46769.82	14 / 11	70.8%
ydgC	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	12323.16	4 / 4	93.6%
yccM	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	40097.24	7 / 5	None
copA	 The cellular location of this protein was experimentally confirmed - copper transporter; member of P-type ATPase superf ... ...	Integral Membrane Protein	87873.46	8 / 8	None
ybiP	 The cellular location of this protein was experimentally confirmed - Function unknown	Integral Membrane Protein	59706.39	4 / 4	None
ybiR	 The cellular location of this protein was experimentally confirmed - predicted transporter; member of the divalent anio ... ...	Integral Membrane Protein	41168.9	10 / 9	None
lolC	 The cellular location of this protein was experimentally confirmed - outer membrane lipoprotein transporter subunit; me ... ...	Integral Membrane Protein	43263.96	4 / 4	None
lolE	 The cellular location of this protein was experimentally confirmed - outer membrane lipoprotein transporter subunit; me ... ...	Integral Membrane Protein	45344.39	4 / 4	None
