Gene,UniProt,NAME,Description,Structure_ID,Structure_file,Structure_source,MW,MOLARITY,"Copy number (glucose minimal media, pH 7)",LOCALIZATION,Localization_source,INCLUDE,COLOR,NOTES
b0015,P08622,dnaJ,Chaperone protein DnaJ,REP-4_348_4j80.1.A_59f22f7e3d4e1d165f42d958,b0015_4_348_4j80_clean.pdb,SWISS-MODEL,41099.8758,4.4364779702552357e-07,748.0,Cytosol,iJL1678,x,,
b0016,P0CF91,insL1,Putative transposase InsL for insertion sequence element IS186A,REP-INSL2_ECOLI,INSL2_ECOLI_model1_clean-X_clean.pdb,I-TASSER,40908.327300000026,,,Cytosol,Arbitrary assignment,,,
b0018,P33236,mokC,Regulatory protein MokC,REP-E00016,E00016_clean-X_clean.pdb,metaTASSER,7742.206,,,Periplasm,EchoLOCATION predicted,,,
b0019,P13738,nhaA,Na(+)/H(+) antiporter NhaA,REP-1zcd,1zcd-A_clean.pdb,Protein Data Bank,41355.181500000006,,,Inner_Membrane,iJL1678,,,
b0020,P0A9G2,nhaR,Transcriptional activator protein NhaR,REP-6_298_3k1n.1.A_59fc8b05ad01f09cad404f92,b0020_6_298_3k1n_clean.pdb,SWISS-MODEL,34284.03990000005,,,Cytosol,EchoLOCATION predicted,,,
b0021,P0CF25,insB1,Insertion element IS1 1 protein InsB,,,,19564.353500000016,,,Cytosol,Arbitrary assignment,,,
b0022,P0CF07,insA1,Insertion element IS1 1 protein InsA,,,,9868.279699999992,,,Cytosol,Arbitrary assignment,,,
b0023,P0A7U7,rpsT,30S ribosomal protein S20,REP-5afi,5afi-t_clean.pdb,Protein Data Bank,9684.28139999999,1.851814374161885e-05,31222.0,Cytosol,iJL1678,x,,
b0024,P75620,yaaY,Uncharacterized protein YaaY,REP-E00023,E00023_clean-X_clean.pdb,metaTASSER,7890.284099999996,,,Inner_Membrane,EchoLOCATION predicted,,,
b0025,P0AG40,ribF,Riboflavin biosynthesis protein RibF,REP-1_312_4uze.1.A_59f2a3b37f4bf91c03991f24,b0025_1_312_4uze_clean.pdb,SWISS-MODEL,34733.8411,5.5159418614135956e-08,93.0,Cytosol,iJL1678,x,,
b0026,P00956,ileS,Isoleucine--tRNA ligase,REP-2_930_1ffy.1.B_5a1471e178ed58063b1b77ed,b0026_2_930_1ffy_clean.pdb,SWISS-MODEL,104295.61110000075,1.1743618156557977e-06,1980.0,Cytosol,iJL1678,x,,
b0027,P00804,lspA,Lipoprotein signal peptidase,REP-2_156_5dir.1.A_5a17267578ed58525d75b876,b0027_2_156_5dir_clean.pdb,SWISS-MODEL,18156.095699999994,,,Inner_Membrane,iJL1678,,,
b0028,P0AEM0,fkpB,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,REP-4dt4,4dt4-A_clean.pdb,Protein Data Bank,16080.815599999987,2.7105219684580783e-07,457.0,Cytosol,EchoLOCATION predicted,x,,
b0029,P62623,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,REP-3szu,3szu-A_clean.pdb,Protein Data Bank,34774.147200000014,1.3048464618397752e-07,220.0,Cytosol,iJL1678,x,,
b0030,P22564,rihC,Non-specific ribonucleoside hydrolase RihC,REP-2_303_3g5i.1.A_59f2cddfb4c268d10e2d5233,b0030_2_303_3g5i_clean.pdb,SWISS-MODEL,32560.414300000026,2.728315329301348e-08,46.0,Cytosol,iJL1678,x,,
b0031,P04036,dapB,4-hydroxy-tetrahydrodipicolinate reductase,REP-1dih,1dih-A_clean.pdb,Protein Data Bank,28756.2878,1.843985295390846e-06,3109.0,Cytosol,iJL1678,x,,
b0032,P0A6F1,carA,Carbamoyl-phosphate synthase small chain,REP-1c30,1c30-B_clean.pdb,Protein Data Bank,41430.510300000045,5.498148500570326e-06,9270.0,Cytosol,iJL1678,x,,
b0033,P00968,carB,Carbamoyl-phosphate synthase large chain,REP-1a9x,1a9x-A_clean.pdb,Protein Data Bank,117840.37040000061,2.6179964920730762e-06,4414.0,Cytosol,iJL1678,x,,
b0034,P0AE58,caiF,Transcriptional activatory protein CaiF,REP-E00033,E00033_clean-X_clean.pdb,metaTASSER,15436.007699999982,,,Cytosol,EchoLOCATION predicted,,,
b0035,P39206,caiE,Carnitine operon protein CaiE,REP-E00034,E00034_clean-X_clean.pdb,metaTASSER,21244.145700000012,,,Cytosol,EchoLOCATION predicted,,,
b0036,P31551,caiD,Carnitinyl-CoA dehydratase,REP-1_261_3trr.1.A_59ca2f0db4c26875afee3694,b0036_1_261_3trr_clean.pdb,SWISS-MODEL,28189.895400000005,,,Cytosol,iJL1678,,,
b0037,P31552,caiC,Probable crotonobetaine/carnitine-CoA ligase,REP-6_517_5bsm.1.A_59ca67577f4bf93ca8ee21fb,b0037_6_517_5bsm_clean.pdb,SWISS-MODEL,58558.45330000009,,,Cytosol,iJL1678,,,
b0038,P31572,caiB,L-carnitine CoA-transferase,REP-1xk7,1xk7-A_clean.pdb,Protein Data Bank,45126.25319999997,,,Cytosol,iJL1678,,,
b0039,P60584,caiA,Crotonobetainyl-CoA reductase,REP-8_376_5lnx.1.A_59f23f0cc730d4bda30258fd,b0039_8_376_5lnx_clean.pdb,SWISS-MODEL,42557.948800000086,,,Cytosol,EchoLOCATION predicted,,,
b0040,P31553,caiT,L-carnitine/gamma-butyrobetaine antiporter,REP-3hfx,3hfx-A_clean.pdb,Protein Data Bank,56586.61990000004,,,Inner_Membrane,iJL1678,,,
b0041,P60566,fixA,Protein FixA,REP-1_255_1o96.1.A_59ca35f6c730d463a2098845,b0041_1_255_1o96_clean.pdb,SWISS-MODEL,27143.436500000007,,,Cytosol,EchoLOCATION predicted,,,
b0042,P31574,fixB,Protein FixB,REP-3_313_4kpu.1.A_59f2a4547f4bf955565525e5,b0042_3_313_4kpu_clean.pdb,SWISS-MODEL,33512.76660000003,,,Cytosol,EchoLOCATION predicted,,,
b0043,P68644,fixC,Protein FixC,REP-5_392_2gmh.1.A_59fc8b37ad01f09cad405257,b0043_5_392_2gmh_clean.pdb,SWISS-MODEL,45702.30690000004,,,Periplasm,EchoLOCATION predicted,,,
b0044,P68646,fixX,Ferredoxin-like protein FixX,REP-E00043,E00043_clean-X_clean.pdb,metaTASSER,10478.819799999996,,,Cytosol,EchoLOCATION predicted,,,
b0045,P31679,yaaU,Putative metabolite transport protein YaaU,REP-10_435_4zw9.1.A_59fcb531eb80f79a93562d96,b0045_10_435_4zw9_clean.pdb,SWISS-MODEL,48666.29080000003,,,Inner_Membrane,EchoLOCATION predicted,,,
b0046,P0A754,kefF,Glutathione-regulated potassium-efflux system ancillary protein KefF,REP-1_174_3l9x.1.A_59cb99031405500b0a960bdd,b0046_1_174_3l9x_clean.pdb,SWISS-MODEL,20169.739700000006,,,Cytosol,EchoLOCATION predicted,,,
b0047,P03819,kefC,Glutathione-regulated potassium-efflux system protein KefC,REP-E00046,E00046_clean-X_clean.pdb,metaTASSER,67795.04880000021,,,Inner_Membrane,iJL1678,,,
b0048,P0ABQ4,folA,Dihydrofolate reductase,REP-4kjj,4kjj-A_clean.pdb,Protein Data Bank,17999.166999999994,1.476848949991382e-07,249.0,Cytosol,iJL1678,x,,
b0049,P05637,apaH,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical],REP-2dfj,2dfj-A_clean.pdb,Protein Data Bank,31296.348000000005,2.6096929236795508e-08,44.0,Cytosol,iJL1678,x,,
b0050,P62672,apaG,Protein ApaG,REP-2_123_1xvs.1.A_59cc3e81a52be75f4bc3cf99,b0050_2_123_1xvs_clean.pdb,SWISS-MODEL,13866.58959999999,0.0,0.0,Cytosol,EchoLOCATION predicted,x,,
b0051,P06992,rsmA,Ribosomal RNA small subunit methyltransferase A,REP-3tpz,3tpz-A_clean.pdb,Protein Data Bank,30419.796600000016,1.1684306953747078e-07,197.0,Cytosol,iJL1678,x,,
b0052,P19624,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,REP-1ptm,1ptm-A_clean.pdb,Protein Data Bank,35113.360000000015,7.176655540118764e-08,121.0,Cytosol,iJL1678,x,,
b0053,P0ABZ6,surA,Chaperone SurA,REP-1m5y,1m5y-A_clean.pdb,Protein Data Bank,47283.17380000011,6.900265971234686e-06,1533.0,Periplasm,iJL1678,,,
b0054,P31554,lptD,LPS-assembly protein LptD,REP-4q35,4q35-A_clean.pdb,Protein Data Bank,89670.04560000061,,456.0,Outer_Membrane,Heinemann 2016,,,
b0055,P31680,djlA,Co-chaperone protein DjlA,REP-E00054,E00054_clean-X_clean.pdb,metaTASSER,30579.03599999997,,1.0,Inner_Membrane,Heinemann 2016,x,,
b0057,P39221,yabQ,Uncharacterized protein YabQ,,,,5736.672799999999,,,Cytosol,EchoLOCATION predicted,,,
b0058,P0AA37,rluA,Ribosomal large subunit pseudouridine synthase A,REP-2i82,2i82-A_clean.pdb,Protein Data Bank,24860.362,,,Cytosol,iJL1678,,,
b0059,P60240,rapA,RNA polymerase-associated protein RapA,REP-3dmq,3dmq-A_clean.pdb,Protein Data Bank,109767.74700000077,4.566962616439213e-08,77.0,Cytosol,Arbitrary assignment,x,,
b0060,P21189,polB,DNA polymerase II,REP-3k59,3k59-A_clean.pdb,Protein Data Bank,90051.45430000048,,,Cytosol,EchoLOCATION predicted,,,
b0061,P08203,araD,L-ribulose-5-phosphate 4-epimerase AraD,REP-1k0w,1k0w-A_clean.pdb,Protein Data Bank,25518.61049999999,,,Cytosol,iJL1678,,,
b0062,P08202,araA,L-arabinose isomerase,REP-4f2d,4f2d-A_clean.pdb,Protein Data Bank,56073.35490000006,,,Cytosol,iJL1678,,,
b0063,P08204,araB,Ribulokinase,REP-2_550_3qdk.1.A_59cae069afa3581d29e28e5c,b0063_2_550_3qdk_clean.pdb,SWISS-MODEL,61088.72140000013,,,Cytosol,iJL1678,,,
b0064,P0A9E0,araC,Arabinose operon regulatory protein,REP-E00061,E00061_clean-X_clean.pdb,metaTASSER,33383.50870000005,,,Cytosol,EchoLOCATION predicted,,,
b0065,P30149,yabI,Inner membrane protein YabI,REP-E00062,E00062_clean-X_clean.pdb,metaTASSER,28243.78900000001,,,Inner_Membrane,EchoLOCATION experimental,,,
b0066,P31548,thiQ,Thiamine import ATP-binding protein ThiQ,REP-1_222_3d31.1.A_59ca824ead01f085524f279e,b0066_1_222_3d31_clean.pdb,SWISS-MODEL,24998.8635,,,Cytosol,iJL1678,,,
b0067,P31549,thiP,Thiamine transport system permease protein ThiP,REP-E00064,E00064_clean-X_clean.pdb,metaTASSER,59532.45990000008,,,Inner_Membrane,iJL1678,,,
b0068,P31550,thiB,Thiamine-binding periplasmic protein,REP-2qry,2qry-A_clean.pdb,Protein Data Bank,36162.95850000006,,10.0,Inner_Membrane,iJL1678,x,,
b0069,P33595,sgrR,HTH-type transcriptional regulator SgrR,REP-E00066,E00066_clean-X_clean.pdb,metaTASSER,63974.37120000016,,,Cytosol,EchoLOCATION experimental,,,
b0070,P31675,setA,Sugar efflux transporter A,REP-7_390_3wdo.1.A_59f25d963d4e1d5900db0748,b0070_7_390_3wdo_clean.pdb,SWISS-MODEL,42712.72700000003,,,Inner_Membrane,iJL1678,,,
b0071,P30126,leuD,3-isopropylmalate dehydratase small subunit,REP-2_181_3q3w.2.A_59cb3003afa3581fc549d690,b0071_2_181_3q3w_clean.pdb,SWISS-MODEL,22487.205299999994,3.8475177263430095e-06,6487.0,Cytosol,iJL1678,x,,
b0072,P0A6A6,leuC,3-isopropylmalate dehydratase large subunit,REP-3_462_4kp2.1.B_59ca002ea52be71c5fa97cde,b0072_3_462_4kp2_clean.pdb,SWISS-MODEL,49881.29230000009,2.476242717355028e-06,4175.0,Cytosol,iJL1678,x,,
b0073,P30125,leuB,3-isopropylmalate dehydrogenase,REP-1cm7,1cm7-A_clean.pdb,Protein Data Bank,39516.55920000006,2.1239341726582886e-06,3581.0,Cytosol,iJL1678,x,,
b0074,P09151,leuA,2-isopropylmalate synthase,REP-3_501_3fig.1.B_59ca7b10a52be799f0d2e5b9,b0074_3_501_3fig_clean.pdb,SWISS-MODEL,57297.24130000005,7.799423169633202e-07,1315.0,Cytosol,iJL1678,x,,
b0075,P0AD79,leuL,leu operon leader peptide,REP-E00073,E00073_clean-X_clean.pdb,metaTASSER,3145.7286999999997,,,Cytosol,EchoLOCATION predicted,,,
b0076,P10151,leuO,HTH-type transcriptional regulator LeuO,REP-22_313_3k1n.1.B_59f2987ae6291d80b0236173,b0076_22_313_3k1n_clean.pdb,SWISS-MODEL,35694.32040000004,,,Cytosol,EchoLOCATION predicted,,,
b0077,P00893,ilvI,Acetolactate synthase isozyme 3 large subunit,REP-4_566_1t9b.1.A_59cadf72afa358ae4d7dd572,b0077_4_566_1t9b_clean.pdb,SWISS-MODEL,62983.63010000011,3.5230854469673936e-07,594.0,Cytosol,iJL1678,x,,
b0078,P00894,ilvH,Acetolactate synthase isozyme 3 small subunit,REP-2f1f,2f1f-A_clean.pdb,Protein Data Bank,17976.541599999997,7.93583893609827e-07,1338.0,Cytosol,iJL1678,x,,
b0079,P0ADF0,fruL,Putative fruR/shl operon leader peptide,,,,3290.7576,,,Cytosol,Arbitrary assignment,,,
b0080,P0ACP1,cra,Catabolite repressor/activator,REP-1_333_4rzs.1.A_59f243e0eb80f7cfce463f2e,b0080_1_333_4rzs_clean.pdb,SWISS-MODEL,37998.90140000003,5.456630658602696e-08,92.0,Cytosol,Arbitrary assignment,x,,
b0081,P22186,mraZ,Transcriptional regulator MraZ,REP-1_147_1n0f.1.A_59cbfc9614055022b0a586ee,b0081_1_147_1n0f_clean.pdb,SWISS-MODEL,17385.833199999986,2.8469377349231462e-08,48.0,Cytosol,Heinemann 2016,x,,
b0082,P60390,rsmH,Ribosomal RNA small subunit methyltransferase H,REP-3tka,3tka-A_clean.pdb,Protein Data Bank,34877.39690000003,1.9750630536029324e-07,333.0,Cytosol,iJL1678,x,,
b0083,P0AEN4,ftsL,Cell division protein FtsL,REP-E00080,E00080_clean-X_clean.pdb,metaTASSER,13626.672799999988,,33.0,Inner_Membrane,Heinemann 2016,x,,
b0084,P0AD68,ftsI,"Peptidoglycan D,D-transpeptidase FtsI",REP-49_570_5ksh.1.A_59cb0948573f20a6c3852824,b0084_49_570_5ksh_clean.pdb,SWISS-MODEL,63876.65450000013,,2.0,Inner_Membrane,iJL1678,x,,
b0085,P22188,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",REP-1e8c,1e8c-A_clean.pdb,Protein Data Bank,53342.991200000084,2.2419634662519776e-07,378.0,Cytosol,iJL1678,x,,
b0086,P11880,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,REP-1gg4,1gg4-A_clean.pdb,Protein Data Bank,47446.580300000096,2.307205789343966e-07,389.0,Cytosol,iJL1678,x,,
b0087,P0A6W3,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,REP-20_360_5ckr.1.B_59f1eb253d4e1db959afa64d,b0087_20_360_5ckr_clean.pdb,SWISS-MODEL,39874.248400000004,,6.0,Inner_Membrane,iJL1678,x,,
b0088,P14900,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,REP-2y1o,2y1o-A_clean.pdb,Protein Data Bank,46973.094100000075,7.295277945740561e-08,123.0,Cytosol,iJL1678,x,,
b0089,P0ABG4,ftsW,Probable peptidoglycan glycosyltransferase FtsW,REP-E00086,E00086_clean-X_clean.pdb,metaTASSER,45986.54640000007,,,Inner_Membrane,EchoLOCATION predicted,,,
b0090,P17443,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,REP-1f0k,1f0k-A_clean.pdb,Protein Data Bank,37814.274400000046,4.0924729939520224e-08,69.0,Cytosol,iJL1678,x,,
b0091,P17952,murC,UDP-N-acetylmuramate--L-alanine ligase,REP-2f00,2f00-A_clean.pdb,Protein Data Bank,53625.32980000008,2.0640298578192809e-07,348.0,Cytosol,iJL1678,x,,
b0092,P07862,ddlB,D-alanine--D-alanine ligase B,REP-4c5c,4c5c-A_clean.pdb,Protein Data Bank,32839.329000000056,2.2123078648465282e-07,373.0,Cytosol,iJL1678,x,,
b0093,P06136,ftsQ,Cell division protein FtsQ,REP-E00090,E00090_clean-X_clean.pdb,metaTASSER,31433.355300000036,,,Inner_Membrane,EchoLOCATION predicted,,,
b0094,P0ABH0,ftsA,Cell division protein FtsA,REP-6_389_3wt0.1.A_59f2ba1cafa3585f4af90c2d,b0094_6_389_3wt0_clean.pdb,SWISS-MODEL,45329.45040000002,,345.0,Inner_Membrane,Heinemann 2016,x,,
b0095,P0A9A6,ftsZ,Cell division protein FtsZ,REP-E00092,E00092_clean-X_clean.pdb,metaTASSER,40323.46220000004,3.601969346705889e-06,6073.0,Cytosol,Heinemann 2016,x,,
b0096,P0A725,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,REP-4mqy,4mqy-A_clean.pdb,Protein Data Bank,33955.52710000002,4.566962616439213e-08,77.0,Cytosol,iJL1678,x,,
b0097,P62395,secM,Secretion monitor,REP-E00094,E00094_clean-X_clean.pdb,metaTASSER,18879.31929999998,,,Periplasm,EchoLOCATION experimental,,,
b0098,P10408,secA,Protein translocase subunit SecA,REP-2fsf,2fsf-A_clean.pdb,Protein Data Bank,102021.82000000059,3.244322793756169e-07,547.0,Cytosol,iJL1678,x,,
b0099,P08337,mutT,8-oxo-dGTP diphosphatase,REP-3a6s,3a6s-A_clean.pdb,Protein Data Bank,14926.8881,2.372448112435955e-09,4.0,Cytosol,iJL1678,x,,
b0101,P0A8H8,yacG,DNA gyrase inhibitor YacG,REP-4tma,4tma-J_clean.pdb,Protein Data Bank,7306.096299999999,8.95599162444573e-08,151.0,Cytosol,EchoLOCATION predicted,x,,
b0102,P36680,zapD,Cell division protein ZapD,REP-5dko,5dko-A_clean.pdb,Protein Data Bank,28291.287300000007,1.6963004003917078e-07,286.0,Cytosol,Heinemann 2016,x,,
b0103,P0A6I9,coaE,Dephospho-CoA kinase,REP-1n3b,1n3b-A_clean.pdb,Protein Data Bank,22621.424699999996,3.795916979897528e-08,64.0,Cytosol,iJL1678,x,,
b0104,P60560,guaC,GMP reductase,REP-2_338_2a7r.1.A_59f22ff33d4e1d29eaec43ce,b0104_2_338_2a7r_clean.pdb,SWISS-MODEL,37383.257699999995,5.029589998364225e-07,848.0,Cytosol,iJL1678,x,,
b0106,P36646,hofC,Protein transport protein HofC homolog,REP-E00101,E00101_clean-X_clean.pdb,metaTASSER,44449.98610000005,,,Inner_Membrane,EchoLOCATION predicted,,,
b0107,P36645,hofB,Protein transport protein HofB homolog,REP-7_456_4pht.1.B_59c9ff19a52be7af7a107b4d,b0107_7_456_4pht_clean.pdb,SWISS-MODEL,50614.74410000004,,,Cytosol,EchoLOCATION predicted,,,
b0108,P36647,ppdD,Prepilin peptidase-dependent protein D,REP-7_140_5vxx.1.T_59cc04a014055089c7d2c19d,b0108_7_140_5vxx_clean.pdb,SWISS-MODEL,15621.592799999984,,,Inner_Membrane,EchoLOCATION predicted,,,
b0109,P30011,nadC,Nicotinate-nucleotide pyrophosphorylase [carboxylating],REP-1qap,1qap-A_clean.pdb,Protein Data Bank,32761.661300000058,3.0248713433558427e-07,510.0,Cytosol,iJL1678,x,,
b0110,P13016,ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",REP-2y2e,2y2e-A_clean.pdb,Protein Data Bank,20535.930799999995,,,Cytosol,iJL1678,,,
b0111,P0AE14,ampE,Protein AmpE,REP-E00106,E00106_clean-X_clean.pdb,metaTASSER,32121.57540000002,,1.0,Inner_Membrane,Heinemann 2016,x,,
b0112,P15993,aroP,Aromatic amino acid transport protein AroP,REP-E00107,E00107_clean-X_clean.pdb,metaTASSER,49689.54070000004,,144.0,Inner_Membrane,iJL1678,x,,
b0113,P0ACL9,pdhR,Pyruvate dehydrogenase complex repressor,REP-6_238_3c7j.1.B_59dd70b378ed5813237c6c24,b0113_6_238_3c7j_clean.pdb,SWISS-MODEL,29425.110700000027,3.1434937489776406e-08,53.0,Cytosol,EchoLOCATION predicted,x,,
b0114,P0AFG8,aceE,Pyruvate dehydrogenase E1 component,REP-2qtc,2qtc-A_clean.pdb,Protein Data Bank,99667.27820000061,2.65121076564718e-06,4470.0,Cytosol,iJL1678,x,,
b0115,P06959,aceF,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,REP-E00110,E00110_clean-X_clean.pdb,metaTASSER,66095.26740000023,5.211675390993684e-06,8787.0,Cytosol,iJL1678,x,,
b0116,P0A9P0,lpdA,Dihydrolipoyl dehydrogenase,REP-4jdr,4jdr-A_clean.pdb,Protein Data Bank,50687.87920000004,7.149965498853859e-06,12055.0,Cytosol,iJL1678,x,,
b0117,P36682,yacH,Uncharacterized protein YacH,REP-E00112,E00112_clean-X_clean.pdb,metaTASSER,69361.1336000002,,,Periplasm,EchoLOCATION predicted,,,
b0118,P36683,acnB,Aconitate hydratase B,REP-1l5j,1l5j-A_clean.pdb,Protein Data Bank,93497.01500000065,5.709296382577126e-06,9626.0,Cytosol,iJL1678,x,,
b0119,P0A8E5,yacL,UPF0231 protein YacL,REP-E00114,E00114_clean-X_clean.pdb,metaTASSER,13941.401199999998,1.6607136787051684e-07,280.0,Cytosol,EchoLOCATION predicted,x,,
b0120,P0A7F6,speD,S-adenosylmethionine decarboxylase proenzyme,REP-E00115,E00115_clean-X_clean.pdb,metaTASSER,30384.30650000002,8.778058016013034e-07,1480.0,Cytosol,iJL1678,x,,
b0121,P09158,speE,Polyamine aminopropyltransferase,REP-3o4f,3o4f-A_clean.pdb,Protein Data Bank,32321.015900000028,7.568109478670696e-07,1276.0,Cytosol,iJL1678,x,,
b0122,P0AA95,yacC,Uncharacterized protein YacC,REP-E00117,E00117_clean-X_clean.pdb,metaTASSER,12853.591499999984,1.9354953474435192e-07,43.0,Periplasm,EchoLOCATION predicted,,,
b0123,P36649,cueO,Blue copper oxidase CueO,REP-4e9s,4e9s-A_clean.pdb,Protein Data Bank,56555.54630000012,2.2235690735746476e-06,494.0,Periplasm,iJL1678,,,
b0124,P15877,gcd,Quinoprotein glucose dehydrogenase,REP-E00119,E00119_clean-X_clean.pdb,metaTASSER,86746.30460000041,,3.0,Inner_Membrane,iJL1678,x,,
b0125,P0A9M2,hpt,Hypoxanthine phosphoribosyltransferase,REP-5knx,5knx-A_clean.pdb,Protein Data Bank,20115.013299999995,7.307140186302741e-07,1232.0,Cytosol,iJL1678,x,,
b0126,P61517,can,Carbonic anhydrase 2,REP-1i6p,1i6p-A_clean.pdb,Protein Data Bank,25096.479300000028,2.9744568209665787e-06,5015.0,Cytosol,iJL1678,x,,
b0127,P36879,yadG,Uncharacterized ABC transporter ATP-binding protein YadG,REP-1_303_4yer.1.A_59f2bcb9ad01f0b7d363e6a5,b0127_1_303_4yer_clean.pdb,SWISS-MODEL,34646.65000000006,3.67729457427573e-08,62.0,Cytosol,EchoLOCATION predicted,x,,
b0128,P0AFN6,yadH,Inner membrane transport permease YadH,REP-E00123,E00123_clean-X_clean.pdb,metaTASSER,28515.801500000016,,,Inner_Membrane,EchoLOCATION predicted,,,
b0129,P36881,yadI,Putative phosphotransferase enzyme IIA component YadI,REP-E00124,E00124_clean-X_clean.pdb,metaTASSER,16539.899199999993,,,Cytosol,EchoLOCATION predicted,,,
b0130,P31666,yadE,Uncharacterized protein YadE,REP-E00125,E00125_clean-X_clean.pdb,metaTASSER,46314.51730000009,,,Periplasm,EchoLOCATION predicted,,,
b0131,P0A790,panD,Aspartate 1-decarboxylase,REP-1pqh,1pqh-A_clean.pdb,Protein Data Bank,13833.576899999982,2.09368545922473e-07,353.0,Cytosol,iJL1678,x,,
b0132,P31665,rpnC,Recombination-promoting nuclease RpnC,REP-E00127,E00127_clean-X_clean.pdb,metaTASSER,34606.39690000003,,,Cytosol,Arbitrary assignment,,,
b0133,P31663,panC,Pantothenate synthetase,REP-1iho,1iho-A_clean.pdb,Protein Data Bank,31597.307000000023,7.852803252163011e-07,1324.0,Cytosol,iJL1678,x,,
b0134,P31057,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,REP-1m3u,1m3u-A_clean.pdb,Protein Data Bank,28237.117099999996,1.3267916068798078e-06,2237.0,Cytosol,iJL1678,x,,
b0135,P31058,yadC,Uncharacterized fimbrial-like protein YadC,REP-E00130,E00130_clean-X_clean.pdb,metaTASSER,44898.66900000003,,,Periplasm,EchoLOCATION predicted,,,
b0136,P37016,yadK,Uncharacterized fimbrial-like protein YadK,REP-E00131,E00131_clean-X_clean.pdb,metaTASSER,21111.77899999999,,,Periplasm,EchoLOCATION predicted,,,
b0137,P37017,yadL,Uncharacterized fimbrial-like protein YadL,REP-32_201_3jwn.1.C_59cb2d6bafa3585bad038d69,b0137_32_201_3jwn_clean.pdb,SWISS-MODEL,21046.705299999987,,,Periplasm,EchoLOCATION predicted,,,
