Gene Name	Function	Subcellular Location	Predicted Molecular weight (Da)	Number of TMH (HMMTOP / TMHMM)	Signal Peptide Cleavage Prob
appA	 The cellular location of this protein was experimentally confirmed Acid phosphatase; pH 2.5; exopolyphosphatase; phyt ... ...	Periplasmic	47056.99	0 / 0	99.9%
appY	Regulates hya and appA operons; induced by PO4 sta ... ...	Cytoplasmic	28763.61	0 / 0	None
apt	Adenine phosphoribosyltransferase; adenine salvage ... ...	Cytoplasmic	19858.92	1 / 0	None
araA	L-Arabinose isomerase	Cytoplasmic	56074.22	0 / 0	None
araB	Ribulokinase	Cytoplasmic	61089.65	0 / 0	None
araC	Activator and repressor of arabinose genes	Cytoplasmic	33384.03	0 / 0	None
araD	L-Ribulosephosphate 4-epimerase	Cytoplasmic	25518.99	0 / 0	None
araE	arabinose transporter; member of major facilitator ... ...	Integral Membrane Protein	51684.72	12 / 12	None
araF	 The cellular location of this protein was experimentally confirmed L-arabinose transporter subunit; periplasmic-bindi ... ...	Periplasmic	35541.02	1 / 0	100%
araG	L-arabinose transporter subunit; ATP-binding compo ... ...	Cytoplasmic	55018.43	0 / 0	None
araH	L-arabinose transporter subunit; membrane componen ... ...	Integral Membrane Protein	34342.28	10 / 10	None
araJ	predicted transporter; member of major facilitator ... ...	Integral Membrane Protein	41926.58	12 / 12	55.8%
arcA	Response regulator protein represses aerobic genes ... ...	Cytoplasmic	27292.11	0 / 0	None
arcB	Tripartite sensor/histidine protein kinase for rep ... ...	Integral Membrane Protein	87983.19	2 / 2	59.1%
argA	N-acetylglutamate synthase; first step in arginine ... ...	Cytoplasmic	49195.35	0 / 0	None
argB	Acetylglutamate kinase	Cytoplasmic	27159.64	0 / 0	None
argC	N-acetyl-gamma-glutamyl-phosphate reductase	Cytoplasmic	35952.25	0 / 0	None
argD	Acetylornithine aminotransferase; succinyl-diamino ... ...	Cytoplasmic	43767.13	0 / 0	None
argF	Ornithine transcarbamylase	Cytoplasmic	36827.3	0 / 0	None
argG	Argininosuccinate synthetase	Cytoplasmic	49898.59	1 / 0	None
argI	Ornithine transcarbamylase	Cytoplasmic	36907.25	0 / 0	None
argR	Repressor of Arg regulon; cer-mediated site-specif ... ...	Cytoplasmic	16994.58	0 / 0	None
argS	Arginyl-tRNA synthetase	Cytoplasmic	64683.2	0 / 0	None
argT	 The cellular location of this protein was experimentally confirmed lysine/arginine/ornithine transporter subunit; per ... ...	Periplasmic	27991.73	1 / 0	97.9%
aroA	5-enolpyruvyl shikimate-3-phosphate synthase; ESPS ... ...	Cytoplasmic	46095.97	0 / 0	None
aroB	3-Dehydroquinate synthase	Cytoplasmic	38881.14	1 / 0	None
aroC	Chorismate synthase	Cytoplasmic	39137.59	0 / 0	None
aroD	3-Dehydroquinate dehydratase	Cytoplasmic	27466.76	0 / 0	None
aroE	Shikimate 5-dehydrogenase	Cytoplasmic	29413.73	1 / 0	None
aroF	3-deoxy-d-arabino-heptulosonate-7-phosphate (DAHP) ... ...	Cytoplasmic	38804.13	0 / 0	None
aroG	3-deoxy-d-arabino-heptulosonate-7-phosphate (DAHP) ... ...	Cytoplasmic	38009.67	0 / 0	None
aroH	3-deoxy-d-arabino-heptulosonate-7-phosphate (DAHP) ... ...	Cytoplasmic	38735.21	0 / 0	None
aroK	 The cellular location of this protein was experimentally confirmed Shikimate kinase I; alkali-inducible	Cytoplasmic	26973.69	0 / 0	None
aroL	Shikimate kinase II	Cytoplasmic	19150.89	1 / 0	None
aroM	Regulated by aroR; function unknown	Cytoplasmic	24917.0	0 / 0	None
aroP	aromatic amino acid transporter; member of amino a ... ...	Integral Membrane Protein	49690.36	12 / 12	None
ascB	Cryptic; paralogous to cryptic bglFB; expressed wh ... ...	Cytoplasmic	53935.12	0 / 0	None
ascF	cellobiose/arbutin/salicin-specific enzyme IIBC co ... ...	Integral Membrane Protein	51026.2	11 / 8	None
ascG	Repressor of cryptic asc operon	Cytoplasmic	36944.53	0 / 0	None
asd	Aspartate semialdehyde dehydrogenase	Cytoplasmic	40018.04	0 / 0	None
aslA	Suppresses gpp mutants; putative arylsulfatase	Periplasmic	60717.81	1 / 0	99.3%
aslB	Suppresses gpp mutants; putative arylsulfatase; Ro ... ...	Cytoplasmic	46513.38	0 / 0	None
asnA	Asparagine synthetase A	Cytoplasmic	36650.65	0 / 0	None
asnB	Asparagine synthetase B	Cytoplasmic	62659.23	0 / 0	None
asnC	Regulatory gene for asnA; asnC; gidA	Cytoplasmic	16887.74	0 / 0	None
asnS	Asparaginyl-tRNA synthetase	Cytoplasmic	52570.59	0 / 0	None
aspA	L-Aspartate ammonia-lyase (L-aspartase)	Cytoplasmic	54064.57	0 / 0	None
aspC	 The cellular location of this protein was experimentally confirmed Aspartate aminotransferase; kynurenine aminotransf ... ...	Cytoplasmic	43573.5	0 / 0	None
aspS	Aspartyl-tRNA synthetase	Cytoplasmic	65913.7	0 / 0	None
atpA	Membrane-bound ATP synthase; F1 sector; alpha-subu ... ...	Cytoplasmic	55222.25	0 / 0	None
atpB	 The cellular location of this protein was experimentally confirmed Membrane-bound ATP synthase; F0 sector; subunit a	Integral Membrane Protein	30303.38	6 / 5	None
atpC	 The cellular location of this protein was experimentally confirmed Membrane-bound ATP synthase; F1 sector; epsilon-su ... ...	Cytoplasmic	15068.32	0 / 0	None
atpD	Membrane-bound ATP synthase; F1 sector; beta-subun ... ...	Cytoplasmic	50325.58	1 / 0	None
atpE	 The cellular location of this protein was experimentally confirmed Membrane-bound ATP synthase; F0 sector; subunit c; ... ...	Integral Membrane Protein	8256.18	2 / 2	54.8%
atpF	 The cellular location of this protein was experimentally confirmed Membrane-bound ATP synthase; F0 sector; subunit b	Membrane anchored	17264.0	1 / 1	None
atpG	 The cellular location of this protein was experimentally confirmed Membrane-bound ATP synthase; F1 sector; gamma-subu ... ...	Cytoplasmic	31577.55	0 / 0	None
atpH	Membrane-bound ATP synthase; F1 sector; delta-subu ... ...	Cytoplasmic	19332.3	0 / 0	None
atpI	Membrane-bound ATP synthase subunit; F1-F0-type pr ... ...	Integral Membrane Protein	14104.39	4 / 4	None
avtA	Alanine-alpha-ketoisovalerate transaminase; transa ... ...	Cytoplasmic	46711.43	0 / 0	None
bcp	Thioredoxin-dependent thiol peroxidase; peroxide h ... ...	Cytoplasmic	17634.0	0 / 0	None
betA	Choline dehydrogenase	Cytoplasmic	61877.84	0 / 0	None
betB	Betaine aldehyde dehydrogenase	Cytoplasmic	52911.31	0 / 0	None
betI	Regulatory gene; perhaps repressor for choline reg ... ...	Cytoplasmic	21815.09	0 / 0	None
betT	choline transporter of high affinity; member of be ... ...	Integral Membrane Protein	75842.48	12 / 12	None
bfr	Bacterioferritin; negatively regulated by ryhB RNA ... ...	Cytoplasmic	18495.1	0 / 0	None
bglB	Phospho-beta-glucosidase B; growth on arbutin or s ... ...	Cytoplasmic	53161.47	0 / 0	None
bglF	PTS sugar transport EIIABC enzyme; beta-glucoside ... ...	Integral Membrane Protein	66483.22	12 / 10	None
bglG	Transcription anti-terminator for bgl operon; RNA- ... ...	Cytoplasmic	32097.27	0 / 0	None
bioA	Diaminopelargonic acid synthetase	Cytoplasmic	47335.85	0 / 0	None
bioB	Biotin synthase; dethiobiotin to biotin pathway; i ... ...	Cytoplasmic	38648.28	0 / 0	None
bioC	Biotin synthesis blocked prior to pimeloyl CoA for ... ...	Cytoplasmic	28276.29	0 / 0	None
bioD	Dethiobiotin synthetase	Cytoplasmic	24139.66	0 / 0	None
bioF	7-Keto-8-aminopelargonic acid synthetase	Cytoplasmic	41594.41	1 / 0	None
bioH	Blocked prior to pimeloyl CoA formation	Cytoplasmic	28505.11	0 / 0	None
birA	Biotin-[acetyl-CoA carboxylase] holoenzyme synthet ... ...	Cytoplasmic	35312.11	1 / 0	None
bisC	Cytoplasmic biotin sulfoxide reductase	Cytoplasmic	81910.56	0 / 0	None
bolA	Morphogene; overexpression produces osmotically st ... ...	Cytoplasmic	13479.48	0 / 0	None
btuB	 The cellular location of this protein was experimentally confirmed vitamin B12/cobalamin outer membrane transporter; ... ...	Outer Membrane ß-barrel protein	68407.26	0 / 0	100%
btuC	vitamin B12 transporter subunit; membrane componen ... ...	Integral Membrane Protein	34949.48	9 / 9	93.4%
btuD	vitamin B12 transporter subunit; ATP-binding compo ... ...	Cytoplasmic	27081.29	0 / 0	None
btuE	Not required for vitamin B12 transport; perhaps pe ... ...	Cytoplasmic	20469.63	0 / 0	None
btuR	Regulatory gene affecting btuB	Cytoplasmic	21998.96	0 / 0	None
cadA	Lysine decarboxylase	Cytoplasmic	81260.45	0 / 0	None
cadB	predicted lysine/cadaverine transporter; member of ... ...	Integral Membrane Protein	46665.27	14 / 12	42.6%
cadC	Regulatory gene	Membrane anchored	57813.13	1 / 1	None
carA	Carbamoylphosphate synthase (glutamine-hydrolysing ... ...	Cytoplasmic	41431.14	0 / 0	None
carB	Carbamoylphosphate synthase (ammonia); heavy subun ... ...	Cytoplasmic	117842.14	0 / 0	56.9%
cca	tRNA nucleotidyltransferase; repairs terminal CCA ... ...	Cytoplasmic	46467.31	0 / 0	None
cdd	Cytidine deaminase; 2-deoxycytidine deaminase; mut ... ...	Cytoplasmic	31539.98	0 / 0	None
cdh	CDP-diglyceride hydrolase; Salmonella ortholog has ... ...	Membrane anchored	28450.87	1 / 1	50.3%
cdsA	 The cellular location of this protein was experimentally confirmed CDP-diglyceride synthase; integral membrane protei ... ...	Integral Membrane Protein	27570.9	9 / 8	76.3%
chbB	 The cellular location of this protein was experimentally confirmed N;N-diacetylchitobiose-specific enzyme IIB compone ... ...	Membrane associated	11426.59	0 / 0	53.8%
chbC	N;N-diacetylchitobiose-specific enzyme IIC compone ... ...	Integral Membrane Protein	48332.41	10 / 10	None
chbA	N;N-diacetylchitobiose-specific enzyme IIA compone ... ...	Cytoplasmic	12747.83	1 / 0	None
chbR	N;N-diacetylchitobiose utilization; putative repre ... ...	Cytoplasmic	32967.71	0 / 0	None
chbF	N;N-diacetylchitobiose utilization; putative phosp ... ...	Cytoplasmic	50512.7	0 / 0	None
creD	Colicin E2 tolerance; creBC regulon	Integral Membrane Protein	49829.99	6 / 6	35.1%
cheA	Autophosphorylating histidine protein kinase (sens ... ...	Cytoplasmic	71382.62	0 / 0	None
cheB	Protein methylesterase; flagellar regulon member	Cytoplasmic	37467.91	0 / 0	None
cheR	Protein methyltransferase (in chemotactic response ... ...	Cytoplasmic	32849.54	0 / 0	None
cheW	Signal transduction; couples CheA to chemoreceptor ... ...	Cytoplasmic	18083.85	0 / 0	None
cheY	Response regulator CheY for chemotactic signal tra ... ...	Cytoplasmic	14097.43	0 / 0	None
cheZ	Chemotactic signal transduction; flagellar regulon ... ...	Cytoplasmic	23976.13	0 / 0	None
modC	molybdate transporter subunit; ATP-binding compone ... ...	Cytoplasmic	39102.54	1 / 0	None
moeA	Molybdopterin (MPT) synthesis; incorporation of mo ... ...	Cytoplasmic	44067.42	0 / 0	None
moeB	Molybdopterin-synthase sulfurylase; probable adeny ... ...	Cytoplasmic	26718.99	1 / 0	None
cirA	 The cellular location of this protein was experimentally confirmed Colicin I receptor production	Outer Membrane ß-barrel protein	73895.88	0 / 0	99%
clpA	ATPase subunit of ClpAP ATP-dependent protease; pr ... ...	Cytoplasmic	84207.15	0 / 0	None
clpB	ClpB is an ATPase (member of the AAA<sup>+</sup> f ... ...	Cytoplasmic	95585.31	0 / 0	None
clpP	Proteolytic subunit of ClpXP and ClpAP ATP-depende ... ...	Cytoplasmic	23186.77	2 / 0	None
clpX	ATPase subunit of ClpXP protease; ClpXP degrades s ... ...	Cytoplasmic	46356.14	0 / 0	None
cpdB	 The cellular location of this protein was experimentally confirmed 2;3-cyclic nucleotide 2-phosphodiesterase	Periplasmic	70832.39	1 / 0	99.6%
cpsB	Colanic acid (CPS) biosynthesis; mannose 1-P guany ... ...	Cytoplasmic	53016.46	0 / 0	None
cpsG	Phosphomannomutase isozyme; colanic acid biosynthe ... ...	Cytoplasmic	50462.75	0 / 0	None
cpxA	Membrane sensor kinase in two-component CpxAR peri ... ...	Integral Membrane Protein	51624.42	2 / 2	None
crp	cAMP receptor protein	Cytoplasmic	23640.52	0 / 0	None
crr	 The cellular location of this protein was experimentally confirmed glucose-specific enzyme IIA component of PTS; memb ... ...	Cytoplasmic	18251.11	0 / 0	None
cspA	Cold shock protein CS7.4; similar to Y-box DNA bin ... ...	Cytoplasmic	7403.3	0 / 0	None
cstA	Starvation-induced protein involved in peptide uti ... ...	Integral Membrane Protein	75105.59	18 / 18	53.9%
cutE	Apolipoprotein N-acetyltransferase; copper sensiti ... ...	Integral Membrane Protein	57066.01	7 / 6	83.8%
cvpA	 The cellular location of this protein was experimentally confirmed Affects Col V production; member of purF operon	Integral Membrane Protein	17907.06	5 / 4	None
cyaA	Adenylate cyclase	Cytoplasmic	97586.33	1 / 0	None
cybB	Cytochrome b561	Integral Membrane Protein	21607.07	4 / 4	None
cydA	Cytochrome d (bd-I) terminal oxidase subunit I	Integral Membrane Protein	58336.52	9 / 9	None
cydB	Cytochrome d (bd-I) terminal oxidase subunit II	Integral Membrane Protein	42453.32	9 / 8	None
cynS	Cyanate aminohydrolase	Cytoplasmic	17048.9	0 / 0	None
cynT	Carbonic anhydrase	Cytoplasmic	23764.36	0 / 0	None
cynX	predicted cyanate transporter; member of major fac ... ...	Integral Membrane Protein	41360.9	11 / 12	None
cyoA	Cytochrome o oxidase subunit II; cytochrome bo(3) ... ...	Integral Membrane Protein	34911.44	3 / 3	59.4%
cyoB	Cytochrome o oxidase subunit I; cytochrome bo(3) u ... ...	Integral Membrane Protein	74368.25	14 / 14	None
cyoC	 The cellular location of this protein was experimentally confirmed Cytochrome o oxidase subunit III; cytochrome bo(3) ... ...	Integral Membrane Protein	22622.74	5 / 5	None
cyoD	Cytochrome o oxidase subunit IV; cytochrome bo(3) ... ...	Integral Membrane Protein	12029.54	3 / 3	None
cyoE	 The cellular location of this protein was experimentally confirmed Cytochrome o oxidase subunit; protoheme IX farnesy ... ...	Integral Membrane Protein	32248.64	9 / 9	None
cysA	sulfate/thiosulfate transporter subunit; ATP-bindi ... ...	Cytoplasmic	41059.02	1 / 0	None
cysB	Positive regulator for <I>cys</I> regulon	Cytoplasmic	36150.57	0 / 0	None
cysC	Adenylylsulfate kinase; APS kinase	Cytoplasmic	22321.37	0 / 0	None
cysD	Sulfate adenylyltransferase	Cytoplasmic	35188.44	0 / 0	None
cysE	Serine acetyltransferase	Cytoplasmic	29316.75	0 / 0	None
cysG	Uroporphyrinogen III methyltransferase; transcribe ... ...	Cytoplasmic	49951.58	1 / 0	None
cysH	Phosphoadenylyl sulfate (PAPS) reductase	Cytoplasmic	27975.89	0 / 0	None
cysI	 The cellular location of this protein was experimentally confirmed Sulfite reductase; alpha-subunit; FAD and FMN-cont ... ...	Cytoplasmic	63998.33	0 / 0	None
cysJ	Sulfite reductase; beta-subunit; Fe(4)S(4) center; ... ...	Cytoplasmic	66269.97	0 / 0	None
cysK	Cysteine synthase; homodimer; selenate resistance; ... ...	Cytoplasmic	34489.74	0 / 0	None
cysM	o-Acetylserine sulfhydrolase B	Cytoplasmic	32664.29	0 / 0	None
cysN	ATP sulfurylase (ATP:sulfate adenylyltransferase)	Cytoplasmic	52558.61	0 / 0	None
cysP	 The cellular location of this protein was experimentally confirmed thiosulfate transporter subunit; periplasmic-bindi ... ...	Periplasmic	37614.65	0 / 0	99.9%
cysS	Cysteinyl-tRNA synthetase	Cytoplasmic	52202.31	1 / 0	None
cysU	sulfate/thiosulfate transporter subunit; membrane ... ...	Integral Membrane Protein	30291.96	6 / 7	60.6%
cysW	sulfate/thiosulfate transporter subunit; membrane ... ...	Integral Membrane Protein	16675.5	6 / 6	None
cytR	Regulatory gene for deo; udp; and cdd; mutants sho ... ...	Cytoplasmic	37819.98	0 / 0	None
dacA	 The cellular location of this protein was experimentally confirmed D-alanine carboxypeptidase; penicillin-binding pro ... ...	Membrane anchored	44444.13	1 / 0	99.9%
dacB	 The cellular location of this protein was experimentally confirmed D-Alanine carboxypeptidase IB; penicillin-binding ... ...	Membrane anchored	51798.52	1 / 0	98.8%
dacC	 The cellular location of this protein was experimentally confirmed Penicillin-binding protein 6; PBP6	Membrane anchored	43609.04	1 / 0	100%
dam	DNA adenine methylase	Cytoplasmic	32099.7	0 / 0	None
dapA	Dihydrodipicolinate synthase	Cytoplasmic	31270.1	0 / 0	None
dapB	Dihydrodipicolinate reductase	Cytoplasmic	28756.72	0 / 0	None
dapD	2;3;4;5-tetrahydropyridine-2-carboxylate N-succiny ... ...	Cytoplasmic	29892.18	0 / 0	None
dapE	N-succinyl-diaminopimelate deacylase	Cytoplasmic	41269.17	0 / 0	None
dapF	Diaminopimelate epimerase	Cytoplasmic	30339.89	0 / 0	None
dbpA	ATP-dependent RNA helicase specific for 23S rRNA	Cytoplasmic	49187.97	0 / 0	None
dcm	DNA cytosine methylase; internal cytosine methylat ... ...	Cytoplasmic	53464.96	0 / 0	None
dcp	Dipeptidyl carboxypeptidase II	Cytoplasmic	77515.99	0 / 0	None
ddlA	D-Alanine:D-alanine ligase; ADP-forming	Cytoplasmic	39315.93	0 / 0	None
ddlB	D-Alanine:D-alanine ligase	Cytoplasmic	32839.83	0 / 0	None
deaD	RNA helicase; translation factor W2; homologous to ... ...	Cytoplasmic	72713.98	0 / 0	None
dedA	Temporary designation for gene in pdxB operon; fun ... ...	Integral Membrane Protein	24510.34	6 / 4	None
accD	Acetyl-CoA carboxylase beta-carboxyltransferase su ... ...	Cytoplasmic	33322.07	0 / 0	None
dedD	Temporary designation for gene in folC operon; fun ... ...	Membrane anchored	21894.31	1 / 1	None
deoA	Thymidine phosphorylase	Cytoplasmic	47207.32	0 / 0	None
deoB	Phosphopentomutase; deoxyribouratase	Cytoplasmic	44370.11	0 / 0	None
deoC	Deoxyribose-phosphate aldolase; deoxyriboaldolase; ... ...	Cytoplasmic	27733.9	0 / 0	None
deoD	Purine-nucleoside phosphorylase	Cytoplasmic	25950.04	0 / 0	None
deoR	Repressor for deo operon; nupG and tsx; binds deox ... ...	Cytoplasmic	28548.11	1 / 0	None
dgkA	 The cellular location of this protein was experimentally confirmed Diglyceride kinase	Integral Membrane Protein	13244.74	2 / 2	None
dgt	Deoxyguanosine 5-triphosphate triphosphohydrolase	Cytoplasmic	59383.12	0 / 0	None
dicA	Regulatory for dicB	Cytoplasmic	15656.07	0 / 0	None
dicB	Control of cell division. activates MinC	Cytoplasmic	6964.32	0 / 0	None
dicC	Regulatory for dicB	Cytoplasmic	8577.77	0 / 0	None
flk	Transcribed divergently from pdxB; promoters overl ... ...	Membrane anchored	36668.39	1 / 1	None
dksA	High copy suppresses mukB and TS growth and filame ... ...	Cytoplasmic	17527.82	0 / 0	None
dld	D-lactate dehydrogenase; vinylglycolate resistance ... ...	Cytoplasmic	64612.54	0 / 0	None
dmsA	 The cellular location of this protein was experimentally confirmed DMSO reductase subunit A; anaerobic	Periplasmic	87449.41	1 / 0	97.1%
dmsB	DMSO reductase subunit B; apparent Fe-S binding do ... ...	Cytoplasmic	22869.08	0 / 0	None
dmsC	 The cellular location of this protein was experimentally confirmed DMSO reductase subunit C; membrane bound	Integral Membrane Protein	30826.4	8 / 8	None
dnaA	Initiator protein for DNA synthesis and global tra ... ...	Cytoplasmic	52550.96	0 / 0	None
dnaB	Replicative DNA helicase; DNA-dependent ATPase inv ... ...	Cytoplasmic	52390.25	0 / 0	None
dnaC	DNA biosynthesis; helicase loader; sliding clamp s ... ...	Cytoplasmic	27935.23	0 / 0	None
dnaE	DNA polymerase III; alpha-subunit; suppressor of d ... ...	Cytoplasmic	129905.05	1 / 0	None
dnaG	Primase; primer synthesis for leading- and lagging ... ...	Cytoplasmic	65564.87	0 / 0	None
dnaJ	Chaperone with DnaK; DNA chain elongation; stress- ... ...	Cytoplasmic	41100.48	0 / 0	None
dnaK	 The cellular location of this protein was experimentally confirmed HSP-70-type molecular chaperone; heat-inducible;Dn ... ...	Cytoplasmic	69115.14	1 / 0	None
dnaN	DNA biosynthesis; sliding clamp subunit; required ... ...	Cytoplasmic	40586.78	0 / 0	None
dnaQ	DNA polymerase III epsilon-subunit; streptomycin; ... ...	Cytoplasmic	27099.04	0 / 0	None
dnaT	Primasomal protein	Cytoplasmic	19455.16	0 / 0	None
dnaX	Subunit of DNA polymerase III holoenzyme; DNA elon ... ...	Cytoplasmic	71137.96	0 / 0	None
mltD	 The cellular location of this protein was experimentally confirmed Reduced amounts of hexaheme nitrite reductase; mem ... ...	Outer membrane Lipoprotein	49417.65	0 / 0	53.8%
acpS	Holo-ACP synthase; ACP-CoA phosphopantetheinyltran ... ...	Cytoplasmic	14052.33	0 / 0	None
dppA	 The cellular location of this protein was experimentally confirmed dipeptide transporter subunit; periplasmic-binding ... ...	Periplasmic	60293.87	1 / 0	99.7%
dsdA	D-Serine deaminase	Cytoplasmic	47900.74	2 / 0	None
dsdX	 The cellular location of this protein was experimentally confirmed predicted transporter; member of the gluconate:pro ... ...	Integral Membrane Protein	47163.39	12 / 12	None
dut	Deoxyuridinetriphosphatase; dUTPase	Cytoplasmic	16155.54	0 / 0	None
ebgA	Cryptic beta-galactoside; alpha (catalytic) subuni ... ...	Cytoplasmic	117879.31	0 / 0	None
ebgC	Cryptic beta galactosidase; beta subunit	Cytoplasmic	17456.67	0 / 0	None
ebgR	Regulatory gene from ebg cryptic operon	Cytoplasmic	36210.45	0 / 0	None
eco	 The cellular location of this protein was experimentally confirmed Ecotin; serine protease inhibitor	Periplasmic	18192.11	0 / 0	100%
eda	2-keto-3-deoxygluconate 6-phosphate aldolase; 2-ke ... ...	Cytoplasmic	22284.09	0 / 0	None
edd	Phosphogluconate dehydratase; growth on gluconate	Cytoplasmic	64639.29	3 / 0	None
eno	 The cellular location of this protein was experimentally confirmed Enolase; phosphoprotein; component of RNA degrados ... ...	Cytoplasmic	45655.08	1 / 0	None
entA	2;3-Dihydro-2;3-dihydroxybenzoate dehydrogenase	Cytoplasmic	26249.75	0 / 0	None
entB	2;3-Dihydro-2;3-dihydroxybenzoate synthetase; isoc ... ...	Cytoplasmic	32554.49	1 / 0	None
entC	Isochorismate synthetase	Cytoplasmic	42931.77	0 / 0	None
entD	Enterochelin synthetase; component D; EntB(ArCP)/E ... ...	Membrane anchored	23604.06	0 / 0	None
entE	Enterochelin synthetase; component E; 2;3-dihydrox ... ...	Cytoplasmic	59112.33	1 / 0	None
entF	Enterochelin synthetase; component F; multifunctio ... ...	Cytoplasmic	141991.4	0 / 0	None
lpxC	UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine ... ...	Cytoplasmic	33956.06	0 / 0	None
acrE	AcrEF-TolC multidrug (nalidixic acid; acriflavin; ... ...	Inner membrane lipoprotein	41317.76	1 / 0	75.4%
