Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id
b0016,P0CF91,insL1,Putative transposase InsL for insertion sequence element IS186A,REP-INSL2_ECOLI,INSL2_ECOLI_model1_clean-X_clean.pdb,I-TASSER,40908.3273,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0018,P33236,mokC,Regulatory protein MokC,REP-E00016,E00016_clean-X_clean.pdb,metaTASSER,7742.206,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0019,P13738,nhaA,Na(+)/H(+) antiporter NhaA,REP-1zcd,1zcd-A_clean.pdb,Protein Data Bank,41355.1815,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0020,P0A9G2,nhaR,Transcriptional activator protein NhaR,REP-6_298_3k1n.1.A_59fc8b05ad01f09cad404f92,b0020_6_298_3k1n_clean.pdb,SWISS-MODEL,34284.0399,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0021,P0CF25,insB1,Insertion element IS1 1 protein InsB,,,,19564.3535,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0022,P0CF07,insA1,Insertion element IS1 1 protein InsA,,,,9868.2797,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0023,P0A7U7,rpsT,30S ribosomal protein S20,REP-5afi,5afi-t_clean.pdb,Protein Data Bank,9684.2814,1.85E-05,31222,Cytosol,iJL1678,x,,,iML1515_v1
b0024,P75620,yaaY,Uncharacterized protein YaaY,REP-E00023,E00023_clean-X_clean.pdb,metaTASSER,7890.2841,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0025,P0AG40,ribF,Riboflavin biosynthesis protein RibF,REP-1_312_4uze.1.A_59f2a3b37f4bf91c03991f24,b0025_1_312_4uze_clean.pdb,SWISS-MODEL,34733.8411,5.52E-08,93,Cytosol,iJL1678,x,,,iML1515_v1
b0026,P00956,ileS,Isoleucine--tRNA ligase,REP-2_930_1ffy.1.B_5a1471e178ed58063b1b77ed,b0026_2_930_1ffy_clean.pdb,SWISS-MODEL,104295.6111,1.17E-06,1980,Cytosol,iJL1678,x,,,iML1515_v1
b0027,P00804,lspA,Lipoprotein signal peptidase,REP-2_156_5dir.1.A_5a17267578ed58525d75b876,b0027_2_156_5dir_clean.pdb,SWISS-MODEL,18156.0957,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0028,P0AEM0,fkpB,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,REP-4dt4,4dt4-A_clean.pdb,Protein Data Bank,16080.8156,2.71E-07,457,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0029,P62623,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,REP-3szu,3szu-A_clean.pdb,Protein Data Bank,34774.1472,1.30E-07,220,Cytosol,iJL1678,x,,,iML1515_v1
b0030,P22564,rihC,Non-specific ribonucleoside hydrolase RihC,REP-2_303_3g5i.1.A_59f2cddfb4c268d10e2d5233,b0030_2_303_3g5i_clean.pdb,SWISS-MODEL,32560.4143,2.73E-08,46,Cytosol,iJL1678,x,,,iML1515_v1
b0031,P04036,dapB,4-hydroxy-tetrahydrodipicolinate reductase,REP-1dih,1dih-A_clean.pdb,Protein Data Bank,28756.2878,1.84E-06,3109,Cytosol,iJL1678,x,,,iML1515_v1
b0032,P0A6F1,carA,Carbamoyl-phosphate synthase small chain,REP-1c30,1c30-B_clean.pdb,Protein Data Bank,41430.5103,5.50E-06,9270,Cytosol,iJL1678,x,,,iML1515_v1
b0033,P00968,carB,Carbamoyl-phosphate synthase large chain,REP-1a9x,1a9x-A_clean.pdb,Protein Data Bank,117840.3704,2.62E-06,4414,Cytosol,iJL1678,x,,,iML1515_v1
b0034,P0AE58,caiF,Transcriptional activatory protein CaiF,REP-E00033,E00033_clean-X_clean.pdb,metaTASSER,15436.0077,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0035,P39206,caiE,Carnitine operon protein CaiE,REP-E00034,E00034_clean-X_clean.pdb,metaTASSER,21244.1457,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0036,P31551,caiD,Carnitinyl-CoA dehydratase,REP-1_261_3trr.1.A_59ca2f0db4c26875afee3694,b0036_1_261_3trr_clean.pdb,SWISS-MODEL,28189.8954,,,Cytosol,iJL1678,,,,iML1515_v1
b0037,P31552,caiC,Probable crotonobetaine/carnitine-CoA ligase,REP-6_517_5bsm.1.A_59ca67577f4bf93ca8ee21fb,b0037_6_517_5bsm_clean.pdb,SWISS-MODEL,58558.4533,,,Cytosol,iJL1678,,,,iML1515_v1
b0038,P31572,caiB,L-carnitine CoA-transferase,REP-1xk7,1xk7-A_clean.pdb,Protein Data Bank,45126.2532,,,Cytosol,iJL1678,,,,iML1515_v1
b0039,P60584,caiA,Crotonobetainyl-CoA reductase,REP-8_376_5lnx.1.A_59f23f0cc730d4bda30258fd,b0039_8_376_5lnx_clean.pdb,SWISS-MODEL,42557.9488,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0040,P31553,caiT,L-carnitine/gamma-butyrobetaine antiporter,REP-3hfx,3hfx-A_clean.pdb,Protein Data Bank,56586.6199,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0041,P60566,fixA,Protein FixA,REP-1_255_1o96.1.A_59ca35f6c730d463a2098845,b0041_1_255_1o96_clean.pdb,SWISS-MODEL,27143.4365,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0042,P31574,fixB,Protein FixB,REP-3_313_4kpu.1.A_59f2a4547f4bf955565525e5,b0042_3_313_4kpu_clean.pdb,SWISS-MODEL,33512.7666,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0043,P68644,fixC,Protein FixC,REP-5_392_2gmh.1.A_59fc8b37ad01f09cad405257,b0043_5_392_2gmh_clean.pdb,SWISS-MODEL,45702.3069,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0044,P68646,fixX,Ferredoxin-like protein FixX,REP-E00043,E00043_clean-X_clean.pdb,metaTASSER,10478.8198,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0045,P31679,yaaU,Putative metabolite transport protein YaaU,REP-10_435_4zw9.1.A_59fcb531eb80f79a93562d96,b0045_10_435_4zw9_clean.pdb,SWISS-MODEL,48666.2908,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0046,P0A754,kefF,Glutathione-regulated potassium-efflux system ancillary protein KefF,REP-1_174_3l9x.1.A_59cb99031405500b0a960bdd,b0046_1_174_3l9x_clean.pdb,SWISS-MODEL,20169.7397,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0047,P03819,kefC,Glutathione-regulated potassium-efflux system protein KefC,REP-E00046,E00046_clean-X_clean.pdb,metaTASSER,67795.0488,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0048,P0ABQ4,folA,Dihydrofolate reductase,REP-4kjj,4kjj-A_clean.pdb,Protein Data Bank,17999.167,1.48E-07,249,Cytosol,iJL1678,x,,,iML1515_v1
b0049,P05637,apaH,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical],REP-2dfj,2dfj-A_clean.pdb,Protein Data Bank,31296.348,2.61E-08,44,Cytosol,iJL1678,x,,,iML1515_v1
b0050,P62672,apaG,Protein ApaG,REP-2_123_1xvs.1.A_59cc3e81a52be75f4bc3cf99,b0050_2_123_1xvs_clean.pdb,SWISS-MODEL,13866.5896,0,0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0051,P06992,rsmA,Ribosomal RNA small subunit methyltransferase A,REP-3tpz,3tpz-A_clean.pdb,Protein Data Bank,30419.7966,1.17E-07,197,Cytosol,iJL1678,x,,,iML1515_v1
b0052,P19624,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,REP-1ptm,1ptm-A_clean.pdb,Protein Data Bank,35113.36,7.18E-08,121,Cytosol,iJL1678,x,,,iML1515_v1
b0053,P0ABZ6,surA,Chaperone SurA,REP-1m5y,1m5y-A_clean.pdb,Protein Data Bank,47283.1738,6.90E-06,1533,Periplasm,iJL1678,,,,iML1515_v1
b0054,P31554,lptD,LPS-assembly protein LptD,REP-4q35,4q35-A_clean.pdb,Protein Data Bank,89670.0456,,456,Outer_Membrane,Heinemann 2016,,,,iML1515_v1
b0055,P31680,djlA,Co-chaperone protein DjlA,REP-E00054,E00054_clean-X_clean.pdb,metaTASSER,30579.036,1.59843E-06,1,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b0057,P39221,yabQ,Uncharacterized protein YabQ,,,,5736.6728,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0058,P0AA37,rluA,Ribosomal large subunit pseudouridine synthase A,REP-2i82,2i82-A_clean.pdb,Protein Data Bank,24860.362,,,Cytosol,iJL1678,,,,iML1515_v1
b0059,P60240,rapA,RNA polymerase-associated protein RapA,REP-3dmq,3dmq-A_clean.pdb,Protein Data Bank,109767.747,4.57E-08,77,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b0060,P21189,polB,DNA polymerase II,REP-3k59,3k59-A_clean.pdb,Protein Data Bank,90051.4543,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0061,P08203,araD,L-ribulose-5-phosphate 4-epimerase AraD,REP-1k0w,1k0w-A_clean.pdb,Protein Data Bank,25518.6105,,,Cytosol,iJL1678,,,,iML1515_v1
b0062,P08202,araA,L-arabinose isomerase,REP-4f2d,4f2d-A_clean.pdb,Protein Data Bank,56073.3549,,,Cytosol,iJL1678,,,,iML1515_v1
b0063,P08204,araB,Ribulokinase,REP-2_550_3qdk.1.A_59cae069afa3581d29e28e5c,b0063_2_550_3qdk_clean.pdb,SWISS-MODEL,61088.7214,,,Cytosol,iJL1678,,,,iML1515_v1
b0064,P0A9E0,araC,Arabinose operon regulatory protein,REP-E00061,E00061_clean-X_clean.pdb,metaTASSER,33383.5087,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0065,P30149,yabI,Inner membrane protein YabI,REP-E00062,E00062_clean-X_clean.pdb,metaTASSER,28243.789,0,,Inner_Membrane,EchoLOCATION experimental,,,,iML1515_v1
b0066,P31548,thiQ,Thiamine import ATP-binding protein ThiQ,REP-1_222_3d31.1.A_59ca824ead01f085524f279e,b0066_1_222_3d31_clean.pdb,SWISS-MODEL,24998.8635,,,Cytosol,iJL1678,,,,iML1515_v1
b0067,P31549,thiP,Thiamine transport system permease protein ThiP,REP-E00064,E00064_clean-X_clean.pdb,metaTASSER,59532.4599,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0068,P31550,thiB,Thiamine-binding periplasmic protein,REP-2qry,2qry-A_clean.pdb,Protein Data Bank,36162.9585,1.59843E-05,10,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0069,P33595,sgrR,HTH-type transcriptional regulator SgrR,REP-E00066,E00066_clean-X_clean.pdb,metaTASSER,63974.3712,,,Cytosol,EchoLOCATION experimental,,,,iML1515_v1
b0070,P31675,setA,Sugar efflux transporter A,REP-7_390_3wdo.1.A_59f25d963d4e1d5900db0748,b0070_7_390_3wdo_clean.pdb,SWISS-MODEL,42712.727,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0071,P30126,leuD,3-isopropylmalate dehydratase small subunit,REP-2_181_3q3w.2.A_59cb3003afa3581fc549d690,b0071_2_181_3q3w_clean.pdb,SWISS-MODEL,22487.2053,3.85E-06,6487,Cytosol,iJL1678,x,,,iML1515_v1
b0072,P0A6A6,leuC,3-isopropylmalate dehydratase large subunit,REP-3_462_4kp2.1.B_59ca002ea52be71c5fa97cde,b0072_3_462_4kp2_clean.pdb,SWISS-MODEL,49881.2923,2.48E-06,4175,Cytosol,iJL1678,x,,,iML1515_v1
b0073,P30125,leuB,3-isopropylmalate dehydrogenase,REP-1cm7,1cm7-A_clean.pdb,Protein Data Bank,39516.5592,2.12E-06,3581,Cytosol,iJL1678,x,,,iML1515_v1
b0074,P09151,leuA,2-isopropylmalate synthase,REP-3_501_3fig.1.B_59ca7b10a52be799f0d2e5b9,b0074_3_501_3fig_clean.pdb,SWISS-MODEL,57297.2413,7.80E-07,1315,Cytosol,iJL1678,x,,,iML1515_v1
b0075,P0AD79,leuL,leu operon leader peptide,REP-E00073,E00073_clean-X_clean.pdb,metaTASSER,3145.7287,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0076,P10151,leuO,HTH-type transcriptional regulator LeuO,REP-22_313_3k1n.1.B_59f2987ae6291d80b0236173,b0076_22_313_3k1n_clean.pdb,SWISS-MODEL,35694.3204,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0077,P00893,ilvI,Acetolactate synthase isozyme 3 large subunit,REP-4_566_1t9b.1.A_59cadf72afa358ae4d7dd572,b0077_4_566_1t9b_clean.pdb,SWISS-MODEL,62983.6301,3.52E-07,594,Cytosol,iJL1678,x,,,iML1515_v1
b0078,P00894,ilvH,Acetolactate synthase isozyme 3 small subunit,REP-2f1f,2f1f-A_clean.pdb,Protein Data Bank,17976.5416,7.94E-07,1338,Cytosol,iJL1678,x,,,iML1515_v1
b0079,P0ADF0,fruL,Putative fruR/shl operon leader peptide,,,,3290.7576,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0080,P0ACP1,cra,Catabolite repressor/activator,REP-1_333_4rzs.1.A_59f243e0eb80f7cfce463f2e,b0080_1_333_4rzs_clean.pdb,SWISS-MODEL,37998.9014,5.46E-08,92,Cytosol,Arbitrary assignment,x,,,iML1515_v1
b0081,P22186,mraZ,Transcriptional regulator MraZ,REP-1_147_1n0f.1.A_59cbfc9614055022b0a586ee,b0081_1_147_1n0f_clean.pdb,SWISS-MODEL,17385.8332,2.85E-08,48,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0082,P60390,rsmH,Ribosomal RNA small subunit methyltransferase H,REP-3tka,3tka-A_clean.pdb,Protein Data Bank,34877.3969,1.98E-07,333,Cytosol,iJL1678,x,,,iML1515_v1
b0083,P0AEN4,ftsL,Cell division protein FtsL,REP-E00080,E00080_clean-X_clean.pdb,metaTASSER,13626.6728,5.27482E-05,33,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b0084,P0AD68,ftsI,"Peptidoglycan D,D-transpeptidase FtsI",REP-49_570_5ksh.1.A_59cb0948573f20a6c3852824,b0084_49_570_5ksh_clean.pdb,SWISS-MODEL,63876.6545,3.19686E-06,2,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0085,P22188,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",REP-1e8c,1e8c-A_clean.pdb,Protein Data Bank,53342.9912,2.24E-07,378,Cytosol,iJL1678,x,,,iML1515_v1
b0086,P11880,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,REP-1gg4,1gg4-A_clean.pdb,Protein Data Bank,47446.5803,2.31E-07,389,Cytosol,iJL1678,x,,,iML1515_v1
b0087,P0A6W3,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,REP-20_360_5ckr.1.B_59f1eb253d4e1db959afa64d,b0087_20_360_5ckr_clean.pdb,SWISS-MODEL,39874.2484,9.59059E-06,6,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0088,P14900,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,REP-2y1o,2y1o-A_clean.pdb,Protein Data Bank,46973.0941,7.30E-08,123,Cytosol,iJL1678,x,,,iML1515_v1
b0089,P0ABG4,ftsW,Probable peptidoglycan glycosyltransferase FtsW,REP-E00086,E00086_clean-X_clean.pdb,metaTASSER,45986.5464,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0090,P17443,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,REP-1f0k,1f0k-A_clean.pdb,Protein Data Bank,37814.2744,4.09E-08,69,Cytosol,iJL1678,x,,,iML1515_v1
b0091,P17952,murC,UDP-N-acetylmuramate--L-alanine ligase,REP-2f00,2f00-A_clean.pdb,Protein Data Bank,53625.3298,2.06E-07,348,Cytosol,iJL1678,x,,,iML1515_v1
b0092,P07862,ddlB,D-alanine--D-alanine ligase B,REP-4c5c,4c5c-A_clean.pdb,Protein Data Bank,32839.329,2.21E-07,373,Cytosol,iJL1678,x,,,iML1515_v1
b0093,P06136,ftsQ,Cell division protein FtsQ,REP-E00090,E00090_clean-X_clean.pdb,metaTASSER,31433.3553,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0094,P0ABH0,ftsA,Cell division protein FtsA,REP-6_389_3wt0.1.A_59f2ba1cafa3585f4af90c2d,b0094_6_389_3wt0_clean.pdb,SWISS-MODEL,45329.4504,0.000551459,345,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b0095,P0A9A6,ftsZ,Cell division protein FtsZ,REP-E00092,E00092_clean-X_clean.pdb,metaTASSER,40323.4622,3.60E-06,6073,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0096,P0A725,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,REP-4mqy,4mqy-A_clean.pdb,Protein Data Bank,33955.5271,4.57E-08,77,Cytosol,iJL1678,x,,,iML1515_v1
b0097,P62395,secM,Secretion monitor,REP-E00094,E00094_clean-X_clean.pdb,metaTASSER,18879.3193,,,Periplasm,EchoLOCATION experimental,,,,iML1515_v1
b0098,P10408,secA,Protein translocase subunit SecA,REP-2fsf,2fsf-A_clean.pdb,Protein Data Bank,102021.82,3.24E-07,547,Cytosol,iJL1678,x,,,iML1515_v1
b0099,P08337,mutT,8-oxo-dGTP diphosphatase,REP-3a6s,3a6s-A_clean.pdb,Protein Data Bank,14926.8881,2.37E-09,4,Cytosol,iJL1678,x,,,iML1515_v1
b0101,P0A8H8,yacG,DNA gyrase inhibitor YacG,REP-4tma,4tma-J_clean.pdb,Protein Data Bank,7306.0963,8.96E-08,151,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0102,P36680,zapD,Cell division protein ZapD,REP-5dko,5dko-A_clean.pdb,Protein Data Bank,28291.2873,1.70E-07,286,Cytosol,Heinemann 2016,x,,,iML1515_v1
b0103,P0A6I9,coaE,Dephospho-CoA kinase,REP-1n3b,1n3b-A_clean.pdb,Protein Data Bank,22621.4247,3.80E-08,64,Cytosol,iJL1678,x,,,iML1515_v1
b0104,P60560,guaC,GMP reductase,REP-2_338_2a7r.1.A_59f22ff33d4e1d29eaec43ce,b0104_2_338_2a7r_clean.pdb,SWISS-MODEL,37383.2577,5.03E-07,848,Cytosol,iJL1678,x,,,iML1515_v1
b0106,P36646,hofC,Protein transport protein HofC homolog,REP-E00101,E00101_clean-X_clean.pdb,metaTASSER,44449.9861,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0107,P36645,hofB,Protein transport protein HofB homolog,REP-7_456_4pht.1.B_59c9ff19a52be7af7a107b4d,b0107_7_456_4pht_clean.pdb,SWISS-MODEL,50614.7441,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0108,P36647,ppdD,Prepilin peptidase-dependent protein D,REP-7_140_5vxx.1.T_59cc04a014055089c7d2c19d,b0108_7_140_5vxx_clean.pdb,SWISS-MODEL,15621.5928,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0109,P30011,nadC,Nicotinate-nucleotide pyrophosphorylase [carboxylating],REP-1qap,1qap-A_clean.pdb,Protein Data Bank,32761.6613,3.02E-07,510,Cytosol,iJL1678,x,,,iML1515_v1
b0110,P13016,ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",REP-2y2e,2y2e-A_clean.pdb,Protein Data Bank,20535.9308,,,Cytosol,iJL1678,,,,iML1515_v1
b0111,P0AE14,ampE,Protein AmpE,REP-E00106,E00106_clean-X_clean.pdb,metaTASSER,32121.5754,1.59843E-06,1,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1
b0112,P15993,aroP,Aromatic amino acid transport protein AroP,REP-E00107,E00107_clean-X_clean.pdb,metaTASSER,49689.5407,0.000230174,144,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0113,P0ACL9,pdhR,Pyruvate dehydrogenase complex repressor,REP-6_238_3c7j.1.B_59dd70b378ed5813237c6c24,b0113_6_238_3c7j_clean.pdb,SWISS-MODEL,29425.1107,3.14E-08,53,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0114,P0AFG8,aceE,Pyruvate dehydrogenase E1 component,REP-2qtc,2qtc-A_clean.pdb,Protein Data Bank,99667.2782,2.65E-06,4470,Cytosol,iJL1678,x,,,iML1515_v1
b0115,P06959,aceF,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,REP-E00110,E00110_clean-X_clean.pdb,metaTASSER,66095.2674,5.21E-06,8787,Cytosol,iJL1678,x,,,iML1515_v1
b0116,P0A9P0,lpdA,Dihydrolipoyl dehydrogenase,REP-4jdr,4jdr-A_clean.pdb,Protein Data Bank,50687.8792,7.15E-06,12055,Cytosol,iJL1678,x,,,iML1515_v1
b0117,P36682,yacH,Uncharacterized protein YacH,REP-E00112,E00112_clean-X_clean.pdb,metaTASSER,69361.1336,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0118,P36683,acnB,Aconitate hydratase B,REP-1l5j,1l5j-A_clean.pdb,Protein Data Bank,93497.015,5.71E-06,9626,Cytosol,iJL1678,x,,,iML1515_v1
b0119,P0A8E5,yacL,UPF0231 protein YacL,REP-E00114,E00114_clean-X_clean.pdb,metaTASSER,13941.4012,1.66E-07,280,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0120,P0A7F6,speD,S-adenosylmethionine decarboxylase proenzyme,REP-E00115,E00115_clean-X_clean.pdb,metaTASSER,30384.3065,8.78E-07,1480,Cytosol,iJL1678,x,,,iML1515_v1
b0121,P09158,speE,Polyamine aminopropyltransferase,REP-3o4f,3o4f-A_clean.pdb,Protein Data Bank,32321.0159,7.57E-07,1276,Cytosol,iJL1678,x,,,iML1515_v1
b0122,P0AA95,yacC,Uncharacterized protein YacC,REP-E00117,E00117_clean-X_clean.pdb,metaTASSER,12853.5915,1.94E-07,43,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0123,P36649,cueO,Blue copper oxidase CueO,REP-4e9s,4e9s-A_clean.pdb,Protein Data Bank,56555.5463,2.22E-06,494,Periplasm,iJL1678,,,,iML1515_v1
b0124,P15877,gcd,Quinoprotein glucose dehydrogenase,REP-E00119,E00119_clean-X_clean.pdb,metaTASSER,86746.3046,4.79529E-06,3,Inner_Membrane,iJL1678,x,,,iML1515_v1
b0125,P0A9M2,hpt,Hypoxanthine phosphoribosyltransferase,REP-5knx,5knx-A_clean.pdb,Protein Data Bank,20115.0133,7.31E-07,1232,Cytosol,iJL1678,x,,,iML1515_v1
b0126,P61517,can,Carbonic anhydrase 2,REP-1i6p,1i6p-A_clean.pdb,Protein Data Bank,25096.4793,2.97E-06,5015,Cytosol,iJL1678,x,,,iML1515_v1
b0127,P36879,yadG,Uncharacterized ABC transporter ATP-binding protein YadG,REP-1_303_4yer.1.A_59f2bcb9ad01f0b7d363e6a5,b0127_1_303_4yer_clean.pdb,SWISS-MODEL,34646.65,3.68E-08,62,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0128,P0AFN6,yadH,Inner membrane transport permease YadH,REP-E00123,E00123_clean-X_clean.pdb,metaTASSER,28515.8015,0,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1
b0129,P36881,yadI,Putative phosphotransferase enzyme IIA component YadI,REP-E00124,E00124_clean-X_clean.pdb,metaTASSER,16539.8992,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0130,P31666,yadE,Uncharacterized protein YadE,REP-E00125,E00125_clean-X_clean.pdb,metaTASSER,46314.5173,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0131,P0A790,panD,Aspartate 1-decarboxylase,REP-1pqh,1pqh-A_clean.pdb,Protein Data Bank,13833.5769,2.09E-07,353,Cytosol,iJL1678,x,,,iML1515_v1
b0132,P31665,rpnC,Recombination-promoting nuclease RpnC,REP-E00127,E00127_clean-X_clean.pdb,metaTASSER,34606.3969,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0133,P31663,panC,Pantothenate synthetase,REP-1iho,1iho-A_clean.pdb,Protein Data Bank,31597.307,7.85E-07,1324,Cytosol,iJL1678,x,,,iML1515_v1
