 ,Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id,Copy_number2,NumUsed,Protein_stoichiometry,PDB_coverage,PDB_stoichiometry,PDB_quality,Localization_multiple,need_dummy,PRINCIPAL_VECTOR,OFFSET,JITTER_MAX,PRINCIPAL_VECTOR_source,TM1_residues,TM2_residues,molecules/sqA
10,b0011,P75617,yaaW,UPF0174 protein YaaW,REP-E00011,E00011_clean-X_clean.pdb,metaTASSER,26664.5763,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0011:1,complete,E00011_clean-X_clean.pdb:1,all-homology,,,,,,,,,
11,b0012,P28697,mbiA,Uncharacterized protein MbiA,,,,17637.1282,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b0012:1,,,,,,,,,,,,
12,b0013,P28696,yaaI,UPF0412 protein YaaI,REP-E00012,E00012_clean-X_clean.pdb,metaTASSER,14481.418,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b0013:1,complete,E00012_clean-X_clean.pdb:1,all-homology,,,,,,,,,
13,b0014,P0A6Y8,dnaK,Chaperone protein DnaK,REP-4jne,4jne-A_clean.pdb,Protein Data Bank,69114.1284,1.7014496479666474e-05,18133.0,Cytosol,iJL1678,x,,,iML1515_v1,18133.0,0,b0014:1,complete,4jne-A_clean.pdb:1,all-experimental,,,,,,,,,
14,b0015,P08622,dnaJ,Chaperone protein DnaJ,REP-4_348_4j80.1.A_59f22f7e3d4e1d165f42d958,b0015_4_348_4j80_clean.pdb,SWISS-MODEL,41099.8758,7.018608816406841e-07,748.0,Cytosol,iJL1678,x,,,iML1515_v1,748.0,0,b0015:1,complete,b0015_4_348_4j80_clean.pdb:1,all-homology,,,,,,,,,
15,b0016,P0CF91,insL1,Putative transposase InsL for insertion sequence element IS186A,REP-INSL2_ECOLI,INSL2_ECOLI_model1_clean-X_clean.pdb,I-TASSER,40908.3273,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b0016:1,complete,INSL2_ECOLI_model1_clean-X_clean.pdb:1,all-homology,,,,,,,,,
16,b0018,P33236,mokC,Regulatory protein MokC,REP-E00016,E00016_clean-X_clean.pdb,metaTASSER,7742.206,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b0018:1,complete,E00016_clean-X_clean.pdb:1,all-homology,,,,,,,,,
17,b0019,P13738,nhaA,Na(+)/H(+) antiporter NhaA,REP-1zcd,1zcd-A_clean.pdb,Protein Data Bank,41355.1815,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b0019:1,complete,1zcd-A_clean.pdb:1,all-experimental,,,,,,,,,
18,b0020,P0A9G2,nhaR,Transcriptional activator protein NhaR,REP-6_298_3k1n.1.A_59fc8b05ad01f09cad404f92,b0020_6_298_3k1n_clean.pdb,SWISS-MODEL,34284.0399,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0020:1,complete,b0020_6_298_3k1n_clean.pdb:1,all-homology,,,,,,,,,
19,b0021,P0CF25,insB1,Insertion element IS1 1 protein InsB,,,,19564.3535,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b0021:1,,,,,,,,,,,,
20,b0022,P0CF07,insA1,Insertion element IS1 1 protein InsA,,,,9868.2797,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b0022:1,,,,,,,,,,,,
21,b0023,P0A7U7,rpsT,30S ribosomal protein S20,REP-5afi,5afi-t_clean.pdb,Protein Data Bank,9684.2814,2.1927522651151265e-05,31222.0,Cytosol,iJL1678,x,,,iML1515_v1,23369.0,7853,b0023:1,complete,5afi-t_clean.pdb:1,all-experimental,,,,,,,,,
22,b0024,P75620,yaaY,Uncharacterized protein YaaY,REP-E00023,E00023_clean-X_clean.pdb,metaTASSER,7890.2841,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b0024:1,complete,E00023_clean-X_clean.pdb:1,all-homology,,,,,,,,,
23,b0025,P0AG40,ribF,Riboflavin biosynthesis protein RibF,REP-1_312_4uze.1.A_59f2a3b37f4bf91c03991f24,b0025_1_312_4uze_clean.pdb,SWISS-MODEL,34733.8411,5.911395126118061e-08,93.0,Cytosol,iJL1678,x,,,iML1515_v1,63.0,30,b0025:1,complete,b0025_1_312_4uze_clean.pdb:1,all-homology,,,,,,,,,
24,b0026,P00956,ileS,Isoleucine--tRNA ligase,REP-2_930_1ffy.1.B_5a1471e178ed58063b1b77ed,b0026_2_930_1ffy_clean.pdb,SWISS-MODEL,104295.6111,1.7537138874150249e-06,1980.0,Cytosol,iJL1678,x,,,iML1515_v1,1869.0,111,b0026:1,complete,b0026_2_930_1ffy_clean.pdb:1,all-homology,,,,,,,,,
25,b0027,P00804,lspA,Lipoprotein signal peptidase,REP-2_156_5dir.1.A_5a17267578ed58525d75b876,b0027_2_156_5dir_clean.pdb,SWISS-MODEL,18156.0957,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b0027:1,complete,b0027_2_156_5dir_clean.pdb:1,all-homology,,,,,,,,,
26,b0028,P0AEM0,fkpB,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,REP-4dt4,4dt4-A_clean.pdb,Protein Data Bank,16080.8156,4.288107258152308e-07,457.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,457.0,0,b0028:1,complete,4dt4-A_clean.pdb:1,all-experimental,,,,,,,,,
27,b0029,P62623,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,REP-3szu,3szu-A_clean.pdb,Protein Data Bank,34774.1472,2.0455303769741863e-07,220.0,Cytosol,iJL1678,x,,,iML1515_v1,218.0,2,b0029:1,complete,3szu-A_clean.pdb:1,all-experimental,,,,,,,,,
28,b0030,P22564,rihC,Non-specific ribonucleoside hydrolase RihC,REP-2_303_3g5i.1.A_59f2cddfb4c268d10e2d5233,b0030_2_303_3g5i_clean.pdb,SWISS-MODEL,32560.4143,4.31625675875287e-08,46.0,Cytosol,iJL1678,x,,,iML1515_v1,46.0,0,b0030:1,complete,b0030_2_303_3g5i_clean.pdb:1,all-homology,,,,,,,,,
29,b0031,P04036,dapB,4-hydroxy-tetrahydrodipicolinate reductase,REP-1dih,1dih-A_clean.pdb,Protein Data Bank,28756.2878,2.0614817606478383e-06,3109.0,Cytosol,iJL1678,x,,,iML1515_v1,2197.0,912,b0031:1,complete,1dih-A_clean.pdb:1,all-experimental,,,,,,,,,
30,b0032,P0A6F1,carA,Carbamoyl-phosphate synthase small chain,REP-1c30,1c30-B_clean.pdb,Protein Data Bank,41430.5103,8.69819568557372e-06,9270.0,Cytosol,iJL1678,x,,,iML1515_v1,9270.0,0,b0032:1,complete,1c30-B_clean.pdb:1,all-experimental,,,,,,,,,
31,b0033,P00968,carB,Carbamoyl-phosphate synthase large chain,REP-1a9x,1a9x-A_clean.pdb,Protein Data Bank,117840.3704,4.1417298550293845e-06,4414.0,Cytosol,iJL1678,x,,,iML1515_v1,4414.0,0,b0033:1,complete,1a9x-A_clean.pdb:1,all-experimental,,,,,,,,,
32,b0034,P0AE58,caiF,Transcriptional activatory protein CaiF,REP-E00033,E00033_clean-X_clean.pdb,metaTASSER,15436.0077,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0034:1,complete,E00033_clean-X_clean.pdb:1,all-homology,,,,,,,,,
33,b0035,P39206,caiE,Carnitine operon protein CaiE,REP-E00034,E00034_clean-X_clean.pdb,metaTASSER,21244.1457,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0035:1,complete,E00034_clean-X_clean.pdb:1,all-homology,,,,,,,,,
34,b0036,P31551,caiD,Carnitinyl-CoA dehydratase,REP-1_261_3trr.1.A_59ca2f0db4c26875afee3694,b0036_1_261_3trr_clean.pdb,SWISS-MODEL,28189.8954,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b0036:1,complete,b0036_1_261_3trr_clean.pdb:1,all-homology,,,,,,,,,
35,b0037,P31552,caiC,Probable crotonobetaine/carnitine-CoA ligase,REP-6_517_5bsm.1.A_59ca67577f4bf93ca8ee21fb,b0037_6_517_5bsm_clean.pdb,SWISS-MODEL,58558.4533,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b0037:1,complete,b0037_6_517_5bsm_clean.pdb:1,all-homology,,,,,,,,,
36,b0038,P31572,caiB,L-carnitine CoA-transferase,REP-1xk7,1xk7-A_clean.pdb,Protein Data Bank,45126.2532,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b0038:1,complete,1xk7-A_clean.pdb:1,all-experimental,,,,,,,,,
37,b0039,P60584,caiA,Crotonobetainyl-CoA reductase,REP-8_376_5lnx.1.A_59f23f0cc730d4bda30258fd,b0039_8_376_5lnx_clean.pdb,SWISS-MODEL,42557.9488,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0039:1,complete,b0039_8_376_5lnx_clean.pdb:1,all-homology,,,,,,,,,
38,b0040,P31553,caiT,L-carnitine/gamma-butyrobetaine antiporter,REP-3hfx,3hfx-A_clean.pdb,Protein Data Bank,56586.6199,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b0040:1,complete,3hfx-A_clean.pdb:1,all-experimental,,,,,,,,,
39,b0041,P60566,fixA,Protein FixA,REP-1_255_1o96.1.A_59ca35f6c730d463a2098845,b0041_1_255_1o96_clean.pdb,SWISS-MODEL,27143.4365,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0041:1,complete,b0041_1_255_1o96_clean.pdb:1,all-homology,,,,,,,,,
40,b0042,P31574,fixB,Protein FixB,REP-3_313_4kpu.1.A_59f2a4547f4bf955565525e5,b0042_3_313_4kpu_clean.pdb,SWISS-MODEL,33512.7666,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0042:1,complete,b0042_3_313_4kpu_clean.pdb:1,all-homology,,,,,,,,,
41,b0043,P68644,fixC,Protein FixC,REP-5_392_2gmh.1.A_59fc8b37ad01f09cad405257,b0043_5_392_2gmh_clean.pdb,SWISS-MODEL,45702.3069,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b0043:1,complete,b0043_5_392_2gmh_clean.pdb:1,all-homology,,,,,,,,,
42,b0044,P68646,fixX,Ferredoxin-like protein FixX,REP-E00043,E00043_clean-X_clean.pdb,metaTASSER,10478.8198,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0044:1,complete,E00043_clean-X_clean.pdb:1,all-homology,,,,,,,,,
43,b0045,P31679,yaaU,Putative metabolite transport protein YaaU,REP-10_435_4zw9.1.A_59fcb531eb80f79a93562d96,b0045_10_435_4zw9_clean.pdb,SWISS-MODEL,48666.2908,,,Inner_Membrane,EchoLOCATION predicted,,,,iML1515_v1,,0,b0045:1,complete,b0045_10_435_4zw9_clean.pdb:1,all-homology,,,,,,,,,
44,b0046,P0A754,kefF,Glutathione-regulated potassium-efflux system ancillary protein KefF,REP-1_174_3l9x.1.A_59cb99031405500b0a960bdd,b0046_1_174_3l9x_clean.pdb,SWISS-MODEL,20169.7397,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0046:1,complete,b0046_1_174_3l9x_clean.pdb:1,all-homology,,,,,,,,,
45,b0047,P03819,kefC,Glutathione-regulated potassium-efflux system protein KefC,REP-E00046,E00046_clean-X_clean.pdb,metaTASSER,67795.0488,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b0047:1,complete,E00046_clean-X_clean.pdb:1,all-homology,,,,,,,,,
46,b0048,P0ABQ4,folA,Dihydrofolate reductase,REP-4kjj,4kjj-A_clean.pdb,Protein Data Bank,17999.167,2.101829378175311e-07,249.0,Cytosol,iJL1678,x,,,iML1515_v1,224.0,25,b0048:1,complete,4kjj-A_clean.pdb:1,all-experimental,,,,,,,,,
47,b0049,P05637,apaH,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical],REP-2dfj,2dfj-A_clean.pdb,Protein Data Bank,31296.347999999998,4.128593421415789e-08,44.0,Cytosol,iJL1678,x,,,iML1515_v1,44.0,0,b0049:1,complete,2dfj-A_clean.pdb:1,all-experimental,,,,,,,,,
48,b0050,P62672,apaG,Protein ApaG,REP-2_123_1xvs.1.A_59cc3e81a52be75f4bc3cf99,b0050_2_123_1xvs_clean.pdb,SWISS-MODEL,13866.5896,0.0,0.0,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,0.0,0,b0050:1,complete,b0050_2_123_1xvs_clean.pdb:1,all-homology,,,,,,,,,
49,b0051,P06992,rsmA,Ribosomal RNA small subunit methyltransferase A,REP-3tpz,3tpz-A_clean.pdb,Protein Data Bank,30419.7966,1.8484838727702508e-07,197.0,Cytosol,iJL1678,x,,,iML1515_v1,197.0,0,b0051:1,complete,3tpz-A_clean.pdb:1,all-experimental,,,,,,,,,
50,b0052,P19624,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,REP-1ptm,1ptm-A_clean.pdb,Protein Data Bank,35113.36,0.0,121.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,-47,b0052:1,complete,1ptm-A_clean.pdb:1,all-experimental,,,,,,,,,
51,b0053,P0ABZ6,surA,Chaperone SurA,REP-1m5y,1m5y-A_clean.pdb,Protein Data Bank,47283.1738,3.7046805624512046e-06,1533.0,Periplasm,iJL1678,x,,,iML1515_v1,959.0,574,b0053:1,complete,1m5y-A_clean.pdb:1,all-experimental,,,,,,,,,
52,b0054,P31554,lptD,LPS-assembly protein LptD,OPM-4q35,OPM-4q35.pdb,OPM; Protein Data Bank,89670.0456,3.442548714213302e-07,456.0,Outer_Membrane,Heinemann 2016,x,,,iML1515_v1,456.0,0,b0054:1,complete,4q35-A_clean.pdb:1,all-experimental,,,"0,0,1",,,OPM,,,5.066086881168044e-07
53,b0055,P31680,djlA,Co-chaperone protein DjlA,OPM-E00054,OPM-E00054.pdb,OPM-manual; metaTASSER,30579.036,9.383166866854067e-10,1.0,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1,1.0,0,b0055:1,complete,E00054_clean-X_clean.pdb:1,all-homology,,,"0,0,1",,,OPM,,,1.2929953271148878e-09
54,b0057,P39221,yabQ,Uncharacterized protein YabQ,,,,5736.6728,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0057:1,,,,,,,,,,,,
55,b0058,P0AA37,rluA,Ribosomal large subunit pseudouridine synthase A,REP-2i82,2i82-A_clean.pdb,Protein Data Bank,24860.362,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b0058:1,complete,2i82-A_clean.pdb:1,all-experimental,,,,,,,,,
56,b0059,P60240,rapA,RNA polymerase-associated protein RapA,REP-3dmq,3dmq-A_clean.pdb,Protein Data Bank,109767.74699999999,7.22503848747763e-08,77.0,Cytosol,Arbitrary assignment,x,,,iML1515_v1,77.0,0,b0059:1,complete,3dmq-A_clean.pdb:1,all-experimental,,,,,,,,,
57,b0060,P21189,polB,DNA polymerase II,REP-3k59,3k59-A_clean.pdb,Protein Data Bank,90051.4543,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0060:1,complete,3k59-A_clean.pdb:1,all-experimental,,,,,,,,,
58,b0061,P08203,araD,L-ribulose-5-phosphate 4-epimerase AraD,REP-1k0w,1k0w-A_clean.pdb,Protein Data Bank,25518.6105,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b0061:1,complete,1k0w-A_clean.pdb:1,all-experimental,,,,,,,,,
59,b0062,P08202,araA,L-arabinose isomerase,REP-4f2d,4f2d-A_clean.pdb,Protein Data Bank,56073.3549,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b0062:1,complete,4f2d-A_clean.pdb:1,all-experimental,,,,,,,,,
60,b0063,P08204,araB,Ribulokinase,REP-2_550_3qdk.1.A_59cae069afa3581d29e28e5c,b0063_2_550_3qdk_clean.pdb,SWISS-MODEL,61088.7214,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b0063:1,complete,b0063_2_550_3qdk_clean.pdb:1,all-homology,,,,,,,,,
61,b0064,P0A9E0,araC,Arabinose operon regulatory protein,REP-E00061,E00061_clean-X_clean.pdb,metaTASSER,33383.5087,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0064:1,complete,E00061_clean-X_clean.pdb:1,all-homology,,,,,,,,,
62,b0065,P30149,yabI,Inner membrane protein YabI,REP-E00062,E00062_clean-X_clean.pdb,metaTASSER,28243.789,,,Inner_Membrane,EchoLOCATION experimental,,,,iML1515_v1,,0,b0065:1,complete,E00062_clean-X_clean.pdb:1,all-homology,,,,,,,,,
63,b0066,P31548,thiQ,Thiamine import ATP-binding protein ThiQ,REP-1_222_3d31.1.A_59ca824ead01f085524f279e,b0066_1_222_3d31_clean.pdb,SWISS-MODEL,24998.8635,,,Cytosol,iJL1678,,,,iML1515_v1,,0,b0066:1,complete,b0066_1_222_3d31_clean.pdb:1,all-homology,,,,,,,,,
64,b0067,P31549,thiP,Thiamine transport system permease protein ThiP,REP-E00064,E00064_clean-X_clean.pdb,metaTASSER,59532.4599,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b0067:1,complete,E00064_clean-X_clean.pdb:1,all-homology,,,,,,,,,
65,b0068,P31550,thiB,Thiamine-binding periplasmic protein,REP-2qry,2qry-A_clean.pdb,Protein Data Bank,36162.9585,3.863066279928263e-08,10.0,Periplasm,Manual annotation,x,,,iML1515_v1,10.0,0,b0068:1,complete,2qry-A_clean.pdb:1,all-experimental,,,,,,,,,
66,b0069,P33595,sgrR,HTH-type transcriptional regulator SgrR,REP-E00066,E00066_clean-X_clean.pdb,metaTASSER,63974.3712,,,Cytosol,EchoLOCATION experimental,,,,iML1515_v1,,0,b0069:1,complete,E00066_clean-X_clean.pdb:1,all-homology,,,,,,,,,
67,b0070,P31675,setA,Sugar efflux transporter A,REP-7_390_3wdo.1.A_59f25d963d4e1d5900db0748,b0070_7_390_3wdo_clean.pdb,SWISS-MODEL,42712.727,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b0070:1,complete,b0070_7_390_3wdo_clean.pdb:1,all-homology,,,,,,,,,
68,b0071,P30126,leuD,3-isopropylmalate dehydratase small subunit,REP-2_181_3q3w.2.A_59cb3003afa3581fc549d690,b0071_2_181_3q3w_clean.pdb,SWISS-MODEL,22487.2053,6.086860346528232e-06,6487.0,Cytosol,iJL1678,x,,,iML1515_v1,6487.0,0,b0071:1,complete,b0071_2_181_3q3w_clean.pdb:1,all-homology,,,,,,,,,
69,b0072,P0A6A6,leuC,3-isopropylmalate dehydratase large subunit,REP-3_462_4kp2.1.B_59ca002ea52be71c5fa97cde,b0072_3_462_4kp2_clean.pdb,SWISS-MODEL,49881.2923,3.917472166911572e-06,4175.0,Cytosol,iJL1678,x,,,iML1515_v1,4175.0,0,b0072:1,complete,b0072_3_462_4kp2_clean.pdb:1,all-homology,,,,,,,,,
70,b0073,P30125,leuB,3-isopropylmalate dehydrogenase,REP-1cm7,1cm7-A_clean.pdb,Protein Data Bank,39516.5592,3.3450989880334744e-06,3581.0,Cytosol,iJL1678,x,,,iML1515_v1,3565.0,16,b0073:1,complete,1cm7-A_clean.pdb:1,all-experimental,,,,,,,,,
71,b0074,P09151,leuA,2-isopropylmalate synthase,REP-3_501_3fig.1.B_59ca7b10a52be799f0d2e5b9,b0074_3_501_3fig_clean.pdb,SWISS-MODEL,57297.2413,1.2245032761244557e-06,1315.0,Cytosol,iJL1678,x,,,iML1515_v1,1305.0,10,b0074:1,complete,b0074_3_501_3fig_clean.pdb:1,all-homology,,,,,,,,,
72,b0075,P0AD79,leuL,leu operon leader peptide,REP-E00073,E00073_clean-X_clean.pdb,metaTASSER,3145.7287,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0075:1,complete,E00073_clean-X_clean.pdb:1,all-homology,,,,,,,,,
73,b0076,P10151,leuO,HTH-type transcriptional regulator LeuO,REP-22_313_3k1n.1.B_59f2987ae6291d80b0236173,b0076_22_313_3k1n_clean.pdb,SWISS-MODEL,35694.3204,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0076:1,complete,b0076_22_313_3k1n_clean.pdb:1,all-homology,,,,,,,,,
74,b0077,P00893,ilvI,Acetolactate synthase isozyme 3 large subunit,REP-4_566_1t9b.1.A_59cadf72afa358ae4d7dd572,b0077_4_566_1t9b_clean.pdb,SWISS-MODEL,62983.6301,0.0,594.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,-16,b0077:1,complete,b0077_4_566_1t9b_clean.pdb:1,all-homology,,,,,,,,,
75,b0078,P00894,ilvH,Acetolactate synthase isozyme 3 small subunit,REP-2f1f,2f1f-A_clean.pdb,Protein Data Bank,17976.5416,6.83094547906976e-07,1338.0,Cytosol,iJL1678,x,,,iML1515_v1,728.0,610,b0078:1,complete,2f1f-A_clean.pdb:1,all-experimental,,,,,,,,,
76,b0079,P0ADF0,fruL,Putative fruR/shl operon leader peptide,,,,3290.7576,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b0079:1,,,,,,,,,,,,
77,b0080,P0ACP1,cra,Catabolite repressor/activator,REP-1_333_4rzs.1.A_59f243e0eb80f7cfce463f2e,b0080_1_333_4rzs_clean.pdb,SWISS-MODEL,37998.9014,8.63251351750574e-08,92.0,Cytosol,Arbitrary assignment,x,,,iML1515_v1,92.0,0,b0080:1,complete,b0080_1_333_4rzs_clean.pdb:1,all-homology,,,,,,,,,
78,b0081,P22186,mraZ,Transcriptional regulator MraZ,REP-1_147_1n0f.1.A_59cbfc9614055022b0a586ee,b0081_1_147_1n0f_clean.pdb,SWISS-MODEL,17385.8332,4.5039200960899515e-08,48.0,Cytosol,Heinemann 2016,x,,,iML1515_v1,48.0,0,b0081:1,complete,b0081_1_147_1n0f_clean.pdb:1,all-homology,,,,,,,,,
79,b0082,P60390,rsmH,Ribosomal RNA small subunit methyltransferase H,REP-3tka,3tka-A_clean.pdb,Protein Data Bank,34877.3969,3.1245945666624035e-07,333.0,Cytosol,iJL1678,x,,,iML1515_v1,333.0,0,b0082:1,complete,3tka-A_clean.pdb:1,all-experimental,,,,,,,,,
80,b0083,P0AEN4,ftsL,Cell division protein FtsL,OPM-E00080,OPM-E00080.pdb,OPM-manual; metaTASSER,13626.6728,3.0964450660618416e-08,33.0,Inner_Membrane,Heinemann 2016,x,,,iML1515_v1,33.0,0,b0083:1,complete,E00080_clean-X_clean.pdb:1,all-homology,,,"0,0,1",,,OPM,,,4.26688457947913e-08
81,b0084,P0AD68,ftsI,"Peptidoglycan D,D-transpeptidase FtsI",OPM-b0084_49_570_5ksh,OPM-b0084_49_570_5ksh.pdb,OPM-manual; SWISS-MODEL,63876.6545,0.0,2.0,Inner_Membrane,iJL1678,,,,iML1515_v1,0.0,-4,b0084:1,complete,b0084_49_570_5ksh_clean.pdb:1,all-homology,,,"0,0,1",,,OPM,,,0.0
82,b0085,P22188,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",REP-1e8c,1e8c-A_clean.pdb,Protein Data Bank,53342.9912,8.5386818488372e-08,378.0,Cytosol,iJL1678,x,,,iML1515_v1,91.0,287,b0085:1,complete,1e8c-A_clean.pdb:1,all-experimental,,,,,,,,,
83,b0086,P11880,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,REP-1gg4,1gg4-A_clean.pdb,Protein Data Bank,47446.5803,2.8337163937899276e-07,389.0,Cytosol,iJL1678,x,,,iML1515_v1,302.0,87,b0086:1,complete,1gg4-A_clean.pdb:1,all-experimental,,,,,,,,,
84,b0087,P0A6W3,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,OPM-b0087_20_360_5ckr,OPM-b0087_20_360_5ckr.pdb,OPM-manual; SWISS-MODEL,39874.2484,5.629900120112439e-09,6.0,Inner_Membrane,iJL1678,x,,,iML1515_v1,6.0,0,b0087:1,complete,b0087_20_360_5ckr_clean.pdb:1,all-homology,,,"0,0,1",,,OPM,,,7.757971962689327e-09
85,b0088,P14900,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,REP-2y1o,2y1o-A_clean.pdb,Protein Data Bank,46973.0941,0.0,123.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,123,b0088:1,complete,2y1o-A_clean.pdb:1,all-experimental,,,,,,,,,
